ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;immobilienwert_check;darlehenbetrag_check;ID
Wegscheid;Landkreis Passau;4,86638E+15;1,38061E+16;;0.0;very low;0;0;A;1418.3;167.57;237665.15;0.58;136856.11;0,3;True;True;598
Fürstenstein;Landkreis Passau;4,86966E+16;1,33198E+16;;0.0;very low;0;0;G;1418.3;128.12;181712.3;0.44;80808.24;0,2;True;True;599
Bad Füssing;Landkreis Passau;4,83494E+14;1,33064E+16;;0.0;very low;0;0;F;1418.3;108.87;154409.85;0.54;83533.16;0,2;True;True;600
Bad Füssing;Landkreis Passau;4,8334E+16;1,33322E+15;;0.0;very low;0;0;A;1418.3;92.37;131007.96;0.46;60013.6;0,2;True;True;601
Obernzell;Landkreis Passau;4,85488E+15;1,36715E+16;;0.0;very low;0;0;H;1418.3;80.0;113463.87;0.6;67540.29;0,25;True;True;602
Obernzell;Landkreis Passau;4,85364E+15;1,37478E+16;;0.0;very low;0;0;E;1418.3;80.0;113463.87;0.61;69019.94;0,3;True;True;603
Untergriesbach;Landkreis Passau;4,85445E+15;1,37436E+15;;0.0;very low;0;0;E;1418.3;151.94;215498.44;0.53;114252.13;0,2;True;True;604
Untergriesbach;Landkreis Passau;4,85536E+15;1,37379E+16;;0.0;very low;0;0;F;1418.3;127.67;181067.77;0.75;135800.83;0,2;True;True;605
Kist;Landkreis Würzburg;4,97325E+15;9,80564E+15;;0.0;very low;0;0;G;1571.73;113.67;178651.27;0.49;87726.39;0,25;True;True;606
Büchlberg;Landkreis Passau;4,86805E+14;1,35617E+16;;0.0;very low;0;0;B;1418.3;91.01;129074.53;0.47;60756.59;0,25;True;True;607
Windorf;Landkreis Passau;4,86481E+15;1,32632E+16;;0.0;very low;0;0;E;1418.3;109.9;155872.59;0.64;99566.56;0,2;True;True;608
Kößlarn;Landkreis Passau;4,83775E+15;1,31143E+16;;0.0;very low;0;0;F;1418.3;128.05;181614.43;0.48;87971.32;0,2;True;True;609
Salzweg;Landkreis Passau;4,8641E+15;1,34914E+16;;0.0;very low;0;0;D;1418.3;128.91;182827.59;0.63;115795.28;0,3;True;True;610
Salzweg;Landkreis Passau;4,86202E+15;1,35213E+16;;0.0;very low;0;0;C;1418.3;80.0;113463.87;0.75;85097.9;0,2;True;True;611
Eging a.See;Landkreis Passau;4,87069E+15;1,32258E+16;;0.0;very low;0;0;F;1418.3;127.38;180656.3;0.71;127585.66;0,2;True;True;612
Pocking;Landkreis Passau;4,84039E+15;1,32789E+15;;0.0;very low;0;0;A+;1418.3;80.0;113463.87;0.73;82838.22;0,3;True;True;613
Pocking;Landkreis Passau;4,84275E+15;1,33664E+16;;0.0;very low;0;0;H;1418.3;88.41;125386.91;0.58;73022.65;0,2;True;True;614
Pocking;Landkreis Passau;4,8391E+15;1,33087E+15;;0.0;very low;0;0;A;1418.3;148.03;209951.91;0.75;157463.93;0,2;True;True;615
Pocking;Landkreis Passau;4,83831E+14;1,33648E+16;;0.0;very low;0;0;G;1418.3;105.09;149054.2;0.66;98367.1;0,2;True;True;616
Tittling;Landkreis Passau;4,87127E+15;1,33778E+16;;0.0;very low;0;0;D;1418.3;150.37;213276.35;0.42;89893.0;0,2;True;True;617
Witzmannsberg;Landkreis Passau;4,87364E+16;1,33814E+16;;0.0;very low;0;0;C;1418.3;119.26;169143.22;0.44;74846.39;0,2;True;True;618
Aicha vorm Wald;Landkreis Passau;4,869E+14;1,32633E+16;;0.0;very low;0;0;E;1418.3;80.0;113463.87;0.73;83304.84;0,3;True;True;619
Hauzenberg;Landkreis Passau;4,86464E+14;1,36054E+16;;0.0;very low;0;0;G;1418.3;135.8;192600.48;0.72;139334.88;0,2;True;True;620
Hauzenberg;Landkreis Passau;4,86701E+14;1,36296E+15;;0.0;very low;0;0;A+;1418.3;80.0;113463.87;0.44;49846.16;0,25;True;True;621
Hauzenberg;Landkreis Passau;4,86471E+15;1,36256E+16;;0.0;very low;0;0;F;1418.3;158.21;224386.47;0.64;143589.2;0,2;True;True;622
Breitenberg;Landkreis Passau;4,86991E+15;1,37455E+15;;0.0;very low;0;0;C;1418.3;116.53;165279.12;0.47;77230.6;0,25;True;True;623
Ruhstorf a.d.Rott;Landkreis Passau;4,84572E+16;1,33374E+16;;0.0;very low;0;0;H;1418.3;105.07;149015.0;0.57;84740.67;0,2;True;True;624
Ruhstorf a.d.Rott;Landkreis Passau;4,84619E+16;1,33013E+16;;0.0;very low;0;0;G;1418.3;80.0;113463.87;0.54;61185.61;0,2;True;True;625
Ruderting;Landkreis Passau;4,86705E+16;1,33796E+16;;0.0;very low;0;0;B;1418.3;80.0;113463.87;0.68;76589.26;0,2;True;True;626
Thyrnau;Landkreis Passau;4,85908E+16;1,35604E+16;;0.0;very low;0;0;A;1418.3;80.0;113463.87;0.62;69996.65;0,2;True;True;627
Vilshofen an der Donau;Landkreis Passau;4,86516E+16;1,32067E+16;;0.0;very low;0;0;F;1418.3;126.87;179940.8;0.43;77328.77;0,3;True;True;628
Vilshofen an der Donau;Landkreis Passau;4,85991E+15;1,32735E+16;;0.0;very low;0;0;D;1418.3;80.0;113463.87;0.67;76098.4;0,25;True;True;629
Vilshofen an der Donau;Landkreis Passau;4,85949E+15;1,32155E+16;;0.0;very low;0;0;E;1418.3;167.04;236909.62;0.63;149640.99;0,2;True;True;630
Vilshofen an der Donau;Landkreis Passau;4,86369E+15;1,31292E+16;;0.0;very low;0;0;E;1418.3;98.04;139056.05;0.75;104292.04;0,2;True;True;631
Hutthurm;Landkreis Passau;4,86956E+16;1,34978E+16;;0.0;very low;0;0;A+;1418.3;123.31;174889.13;0.71;123752.22;0,25;True;True;632
Hutthurm;Landkreis Passau;4,8684E+15;1,34796E+16;;0.0;very low;0;0;D;1418.3;101.09;143370.78;0.62;88288.6;0,2;True;True;633
Hofkirchen;Landkreis Passau;4,8686E+15;1,3209E+16;;0.0;very low;0;0;D;1418.3;100.92;143131.97;0.61;87151.67;0,2;True;True;634
Simbach;Landkreis Dingolfing-Landau;4,86028E+16;1,27388E+16;;0.0;very low;0;0;F;1413.1;91.32;129050.15;0.5;64549.5;0,2;True;True;635
Wallersdorf;Landkreis Dingolfing-Landau;4,87404E+15;1,26847E+16;;0.0;very low;0;0;H;1413.1;108.62;153486.57;0.56;86130.67;0,2;True;True;636
Wallersdorf;Landkreis Dingolfing-Landau;4,87963E+16;1,27541E+15;;0.0;very low;0;0;C;1413.1;131.65;186036.59;0.45;83697.89;0,2;True;True;637
Pilsting;Landkreis Dingolfing-Landau;4,86862E+15;1,26714E+16;;0.0;very low;0;0;A;1413.1;85.58;120928.79;0.52;62785.46;0,3;True;True;638
Pilsting;Landkreis Dingolfing-Landau;4,87176E+15;1,26584E+15;;0.0;very low;0;0;G;1413.1;110.15;155654.34;0.49;75960.46;0,2;True;True;639
Landau an der Isar;Landkreis Dingolfing-Landau;4,86574E+15;1,26858E+16;;0.0;very low;0;0;A;1413.1;106.61;150644.36;0.59;88453.7;0,3;True;True;640
Landau an der Isar;Landkreis Dingolfing-Landau;4,86514E+15;1,26798E+16;;0.0;very low;0;0;B;1413.1;121.89;172245.89;0.72;124157.85;0,3;True;True;641
Landau an der Isar;Landkreis Dingolfing-Landau;4,86929E+15;1,26918E+16;;0.0;very low;0;0;D;1413.1;161.29;227922.28;0.65;148450.56;0,2;True;True;642
Eichendorf;Landkreis Dingolfing-Landau;4,86602E+15;1,27979E+16;;0.0;very low;0;0;E;1413.1;80.0;113047.8;0.71;80460.52;0,2;True;True;643
Eichendorf;Landkreis Dingolfing-Landau;4,86066E+15;1,28227E+16;;0.0;very low;0;0;B;1413.1;140.83;199000.4;0.44;87392.96;0,2;True;True;644
Mamming;Landkreis Dingolfing-Landau;4,8671E+15;1,26158E+16;;0.0;very low;0;0;E;1413.1;156.52;221178.96;0.53;116685.08;0,3;True;True;645
Reisbach;Landkreis Dingolfing-Landau;4,86152E+15;1,25884E+16;;0.0;very low;0;0;C;1413.1;108.1;152753.33;0.45;69122.44;0,2;True;True;646
Reisbach;Landkreis Dingolfing-Landau;4,84959E+16;1,26295E+16;;0.0;very low;0;0;D;1413.1;81.79;115580.07;0.56;64258.8;0,2;True;True;647
Ursberg;Landkreis Günzburg;4,82162E+14;1,04487E+16;;0.0;very low;0;0;A;1662.74;80.0;133019.44;0.62;81991.95;0,2;True;True;648
Ziemetshausen;Landkreis Günzburg;4,82786E+14;1,05106E+15;;0.0;very low;0;0;H;1662.74;148.59;247072.06;0.47;115894.76;0,25;True;True;649
Thannhausen;Landkreis Günzburg;4,82941E+15;1,04961E+16;;0.0;very low;0;0;H;1662.74;80.0;133019.44;0.46;61098.93;0,2;True;True;650
Thannhausen;Landkreis Günzburg;4,83037E+15;1,049E+16;;0.0;very low;0;0;C;1662.74;142.26;236546.87;0.46;107879.17;0,2;True;True;651
Neuburg an der Kammel;Landkreis Günzburg;4,82906E+15;1,03973E+16;;0.0;very low;0;0;A+;1662.74;119.86;199296.5;0.61;121903.77;0,2;True;True;652
Leiblfing;Landkreis Straubing-Bogen;4,8793E+15;1,24923E+15;;0.0;very low;0;0;F;1520.24;164.27;249732.47;0.66;163872.48;0,2;True;True;653
Rain;Landkreis Straubing-Bogen;4,89133E+15;1,24519E+15;;0.0;very low;0;0;F;1520.24;149.89;227868.45;0.75;170901.34;0,2;True;True;654
Steinach;Landkreis Straubing-Bogen;4,89483E+15;1,2584E+15;;0.0;very low;0;0;F;1520.24;80.0;121618.96;0.75;91214.22;0,2;True;True;655
Kirchroth;Landkreis Straubing-Bogen;4,89306E+15;1,25144E+16;;0.0;very low;0;0;D;1520.24;121.36;184493.47;0.65;120403.05;0,25;True;True;656
Aiterhofen;Landkreis Straubing-Bogen;4,88194E+15;1,25489E+16;;0.0;very low;0;0;A;1520.24;151.92;230955.32;0.57;130891.91;0,3;True;True;657
Aiterhofen;Landkreis Straubing-Bogen;4,88083E+16;1,26085E+16;;0.0;very low;0;0;D;1520.24;106.22;161475.29;0.65;104208.18;0,3;True;True;658
Salching;Landkreis Straubing-Bogen;4,88848E+15;1,26811E+15;;0.0;very low;0;0;E;1520.24;111.3;169197.04;0.75;126897.78;0,2;True;True;659
Salching;Landkreis Straubing-Bogen;4,88084E+15;1,25712E+16;;0.0;very low;0;0;H;1520.24;122.61;186389.67;0.65;120999.45;0,2;True;True;660
Parkstetten;Landkreis Straubing-Bogen;4,89413E+15;1,25821E+16;;0.0;very low;0;0;H;1520.24;80.0;121618.96;0.47;56711.07;0,2;True;True;661
Wiesenfelden;Landkreis Straubing-Bogen;4,90285E+15;1,25642E+16;;0.0;very low;0;0;A;1520.24;148.73;226104.21;0.65;148080.38;0,2;True;True;662
Mitterfels;Landkreis Straubing-Bogen;4,89795E+15;1,26697E+16;;0.0;very low;0;0;C;1520.24;80.0;121618.96;0.75;91214.22;0,2;True;True;663
Hunderdorf;Landkreis Straubing-Bogen;4,89564E+14;1,27215E+16;;0.0;very low;0;0;H;1520.24;80.0;121618.96;0.74;90198.25;0,2;True;True;664
Windberg;Landkreis Straubing-Bogen;4,89548E+14;1,27249E+16;;0.0;very low;0;0;H;1520.24;130.47;198340.0;0.42;83001.79;0,2;True;True;665
Geiselhöring;Landkreis Straubing-Bogen;4,8802E+16;1,23482E+15;;0.0;very low;0;0;A;1520.24;129.71;197189.34;0.69;135610.03;0,3;True;True;666
Geiselhöring;Landkreis Straubing-Bogen;4,88405E+15;1,23684E+16;;0.0;very low;0;0;C;1520.24;155.01;235648.67;0.49;115699.2;0,2;True;True;667
Schwarzach;Landkreis Straubing-Bogen;4,89298E+16;1,28243E+16;;0.0;very low;0;0;D;1520.24;137.88;209605.12;0.56;117183.11;0,2;True;True;668
Haibach;Landkreis Straubing-Bogen;4,90495E+15;1,27252E+16;;0.0;very low;0;0;D;1520.24;131.74;200270.63;0.59;118606.49;0,2;True;True;669
Niederwinkling;Landkreis Straubing-Bogen;4,88498E+16;1,27715E+16;;0.0;very low;0;0;D;1520.24;134.92;205114.09;0.51;105474.14;0,25;True;True;670
Gessertshausen;Landkreis Augsburg;4,82739E+15;1,06834E+16;;0.0;very low;0;0;D;2216.64;126.86;281205.32;0.59;165650.72;0,2;True;True;671
Diedorf;Landkreis Augsburg;4,83919E+15;1,0758E+16;;0.0;very low;0;0;C;2216.64;144.76;320872.95;0.72;232107.08;0,2;True;True;672
Diedorf;Landkreis Augsburg;4,834E+16;1,0756E+16;;0.0;very low;0;0;H;2216.64;80.0;177331.51;0.53;93249.51;0,25;True;True;673
Diedorf;Landkreis Augsburg;4,83578E+15;1,07535E+16;;0.0;very low;0;0;E;2216.64;80.0;177331.51;0.65;114769.42;0,25;True;True;674
Horgau;Landkreis Augsburg;4,83971E+15;1,07288E+16;;0.0;very low;0;0;A;2216.64;163.89;363285.25;0.63;229908.55;0,25;True;True;675
Garching an der Alz;Landkreis Altötting;4,81286E+15;1,25926E+16;;0.0;very low;0;0;E;1841.14;134.5;247634.9;0.59;146696.56;0,2;True;True;676
Garching an der Alz;Landkreis Altötting;4,81377E+16;1,25903E+15;;0.0;very low;0;0;C;1841.14;161.56;297446.68;0.53;157576.95;0,2;True;True;677
Kirchweidach;Landkreis Altötting;4,80557E+15;1,26639E+16;;0.0;very low;0;0;H;1841.14;160.98;296380.18;0.58;170978.22;0,2;True;True;678
Tyrlaching;Landkreis Altötting;4,81187E+16;1,26394E+16;;0.0;very low;0;0;F;1841.14;116.01;213593.89;0.74;157982.75;0,2;True;True;679
Unterneukirchen;Landkreis Altötting;4,81643E+15;1,25854E+16;;0.0;very low;0;0;D;1841.14;147.87;272254.59;0.75;204190.94;0,25;True;True;680
Neuötting;Landkreis Altötting;4,82325E+16;1,27188E+16;;0.0;very low;0;0;C;1841.14;80.0;147290.84;0.74;109513.63;0,2;True;True;681
Neuötting;Landkreis Altötting;4,82328E+14;1,27343E+16;;0.0;very low;0;0;E;1841.14;126.73;233323.09;0.46;106644.91;0,2;True;True;682
Reischach;Landkreis Altötting;4,8291E+16;1,26884E+16;;0.0;very low;0;0;F;1841.14;130.13;239591.54;0.61;146739.61;0,2;True;True;683
Altötting;Landkreis Altötting;4,82377E+15;1,2652E+16;;0.0;very low;0;0;A;1841.14;84.1;154835.28;0.54;83371.42;0,3;True;True;684
Altötting;Landkreis Altötting;4,82176E+14;1,27013E+16;;0.0;very low;0;0;D;1841.14;80.0;147290.84;0.66;97647.0;0,2;True;True;685
Altötting;Landkreis Altötting;4,8212E+14;1,26683E+15;;0.0;very low;0;0;A;1841.14;80.0;147290.84;0.74;108590.05;0,2;True;True;686
Altenmünster;Landkreis Augsburg;4,84695E+15;1,05967E+16;;0.0;very low;0;0;H;2216.64;103.19;228729.26;0.61;140109.81;0,2;True;True;687
Egling an der Paar;Landkreis Landsberg am Lech;4,81789E+15;1,09615E+16;;0.0;very low;0;0;H;2646.76;96.24;254728.42;0.52;132583.88;0,2;True;True;688
Krumbach (Schwaben);Landkreis Günzburg;4,82766E+15;1,0365E+16;;0.0;very low;0;0;A+;1662.74;85.89;142815.97;0.43;61064.74;0,2;True;True;689
Krumbach (Schwaben);Landkreis Günzburg;4,82255E+16;1,03855E+16;;0.0;very low;0;0;D;1662.74;94.06;156400.25;0.75;117300.19;0,2;True;True;690
Krumbach (Schwaben);Landkreis Günzburg;4,82679E+13;1,03985E+16;;0.0;very low;0;0;H;1662.74;149.92;249284.01;0.6;150097.63;0,2;True;True;691
Bobingen;Landkreis Augsburg;4,82584E+15;1,08304E+16;;0.0;very low;0;0;A;2216.64;141.58;313838.63;0.58;180485.81;0,3;True;True;692
Bobingen;Landkreis Augsburg;4,82601E+16;1,07517E+15;;0.0;very low;0;0;C;2216.64;148.76;329740.49;0.65;215741.96;0,2;True;True;693
Bobingen;Landkreis Augsburg;4,82888E+15;1,0859E+16;;0.0;very low;0;0;D;2216.64;110.04;243924.15;0.42;102263.66;0,2;True;True;694
Bobingen;Landkreis Augsburg;4,8252E+15;1,06972E+16;;0.0;very low;0;0;G;2216.64;82.61;183125.2;0.47;86317.22;0,2;True;True;695
Ergolding;Landkreis Landshut;4,85899E+15;1,20958E+15;;0.0;very low;0;0;E;3142.41;80.0;251393.0;0.48;119995.53;0,2;True;True;696
Ergolding;Landkreis Landshut;4,85625E+14;1,21781E+14;;0.0;very low;0;0;A+;3142.41;123.13;386934.64;0.68;264731.31;0,25;True;True;697
Ergolding;Landkreis Landshut;4,85549E+15;1,21397E+16;;0.0;very low;0;0;C;3142.41;164.31;516322.6;0.51;265516.85;0,3;True;True;698
Ergolding;Landkreis Landshut;4,85743E+16;1,21416E+16;;0.0;very low;0;0;E;3142.41;133.57;419735.54;0.68;286753.21;0,2;True;True;699
Landshut;;4,86038E+16;1,21135E+15;;0.0;very low;0;0;D;3142.41;83.5;262400.34;0.52;137123.66;0,2;True;True;700
Landshut;;4,86066E+16;1,21307E+16;;0.0;very low;0;0;C;3142.41;85.51;268709.68;0.69;185601.15;0,2;True;True;701
Landshut;;4,85688E+15;1,21334E+16;;0.0;very low;0;0;D;3142.41;94.21;296048.74;0.63;187352.63;0,2;True;True;702
Landshut;;4,85828E+14;1,21518E+15;;0.0;very low;0;0;G;3142.41;157.67;495472.58;0.46;226118.57;0,2;True;True;703
Stadtbergen;Landkreis Augsburg;4,83609E+15;1,08335E+15;;0.0;very low;0;0;C;2216.64;90.78;201232.64;0.6;120598.15;0,25;True;True;704
Stadtbergen;Landkreis Augsburg;4,83599E+16;1,08433E+16;;0.0;very low;0;0;A+;2216.64;127.34;282263.96;0.64;179811.64;0,2;True;True;705
Stadtbergen;Landkreis Augsburg;4,83514E+16;1,08426E+16;;0.0;very low;0;0;A;2216.64;89.49;198367.35;0.71;141049.16;0,2;True;True;706
Stadtbergen;Landkreis Augsburg;4,83523E+14;1,08068E+16;;0.0;very low;0;0;H;2216.64;129.89;287914.27;0.69;198960.19;0,25;True;True;707
Adelsried;Landkreis Augsburg;4,84113E+15;1,0738E+16;;0.0;very low;0;0;E;2216.64;117.05;259454.31;0.74;192189.27;0,25;True;True;708
Gersthofen;Landkreis Augsburg;4,84278E+15;1,08015E+15;;0.0;very low;0;0;C;2216.64;80.0;177331.51;0.73;128847.91;0,3;True;True;709
Gersthofen;Landkreis Augsburg;4,84524E+15;1,0871E+16;;0.0;very low;0;0;D;2216.64;125.1;277304.68;0.62;170608.93;0,2;True;True;710
Gersthofen;Landkreis Augsburg;4,8433E+15;1,08341E+16;;0.0;very low;0;0;D;2216.64;80.0;177331.51;0.72;127231.48;0,2;True;True;711
Gersthofen;Landkreis Augsburg;4,84202E+15;1,08724E+14;;0.0;very low;0;0;D;2216.64;80.0;177331.51;0.75;132998.63;0,2;True;True;712
Gersthofen;Landkreis Augsburg;4,84339E+15;1,08118E+16;;0.0;very low;0;0;B;2216.64;110.92;245870.68;0.67;165308.66;0,2;True;True;713
Gersthofen;Landkreis Augsburg;4,84056E+15;1,08662E+16;;0.0;very low;0;0;F;2216.64;80.0;177331.51;0.75;132998.63;0,3;True;True;714
Neusäß;Landkreis Augsburg;4,84123E+16;1,08096E+16;;0.0;very low;0;0;A;2216.64;159.07;352594.1;0.66;232429.09;0,3;True;True;715
Neusäß;Landkreis Augsburg;4,84004E+14;1,08361E+16;;0.0;very low;0;0;H;2216.64;101.42;224817.13;0.62;139994.86;0,3;True;True;716
Neusäß;Landkreis Augsburg;4,84073E+14;1,0807E+16;;0.0;very low;0;0;D;2216.64;96.52;213959.77;0.47;101533.26;0,25;True;True;717
Neusäß;Landkreis Augsburg;4,83837E+15;1,07704E+15;;0.0;very low;0;0;E;2216.64;80.0;177331.51;0.66;117235.77;0,25;True;True;718
Neusäß;Landkreis Augsburg;4,83882E+15;1,08286E+15;;0.0;very low;0;0;D;2216.64;160.04;354756.15;0.57;201156.92;0,2;True;True;719
Neusäß;Landkreis Augsburg;4,84155E+15;1,08026E+16;;0.0;very low;0;0;A;2216.64;85.12;188673.28;0.55;104369.07;0,2;True;True;720
Aystetten;Landkreis Augsburg;4,84047E+16;1,07625E+15;;0.0;very low;0;0;D;2216.64;167.03;370256.42;0.62;229717.18;0,2;True;True;721
Hilgertshausen-Tandern;Landkreis Dachau;4,84302E+15;1,133E+16;;0.0;very low;0;0;E;3357.73;113.16;379963.25;0.59;222330.57;0,2;True;True;722
Rimpar;Landkreis Würzburg;4,98465E+15;9,9188E+14;;0.0;very low;0;0;F;1571.73;80.0;125738.11;0.43;53678.78;0,2;True;True;723
Rimpar;Landkreis Würzburg;4,9895E+16;9,96054E+15;;0.0;very low;0;0;B;1571.73;156.09;245329.36;0.45;111021.94;0,2;True;True;724
Bergtheim;Landkreis Würzburg;4,98711E+15;1,00883E+16;;0.0;very low;0;0;E;1571.73;146.47;230217.34;0.64;146640.45;0,25;True;True;725
Oberpleichfeld;Landkreis Würzburg;4,99062E+15;1,00449E+16;;0.0;very low;0;0;C;1571.73;142.88;224568.76;0.69;153908.05;0,2;True;True;726
Röttingen;Landkreis Würzburg;4,95141E+15;9,98837E+15;;0.0;very low;0;0;H;1571.73;83.08;130584.23;0.44;58065.84;0,2;True;True;727
Tauberrettersheim;Landkreis Würzburg;4,94901E+15;9,96899E+15;;0.0;very low;0;0;A;1571.73;162.16;254877.73;0.62;158066.86;0,2;True;True;728
Sommerhausen;Landkreis Würzburg;4,97229E+15;9,99189E+15;;0.0;very low;0;0;E;1571.73;80.0;125738.11;0.53;66397.6;0,2;True;True;729
Winterhausen;Landkreis Würzburg;4,97016E+15;1,00355E+16;;0.0;very low;0;0;F;1571.73;80.0;125738.11;0.61;76630.66;0,25;True;True;730
Holzkirchen;Landkreis Würzburg;4,98004E+15;9,7164E+15;;0.0;very low;0;0;G;1571.73;150.25;236153.3;0.5;118378.96;0,25;True;True;731
Uettingen;Landkreis Würzburg;4,98009E+15;9,7399E+15;;0.0;very low;0;0;C;1571.73;80.0;125738.11;0.75;94303.58;0,2;True;True;732
Unterwössen;Landkreis Traunstein;4,77241E+16;1,24463E+16;;0.0;very low;0;0;A;2120.95;80.0;169675.71;0.54;91323.59;0,3;True;True;733
Schnaitsee;Landkreis Traunstein;4,81075E+15;1,24E+16;;0.0;very low;0;0;E;2120.95;99.06;210104.08;0.44;91835.51;0,2;True;True;734
Traunreut;Landkreis Traunstein;4,79613E+15;1,26014E+14;;0.0;very low;0;0;D;2120.95;92.48;196150.74;0.66;130220.27;0,25;True;True;735
Traunreut;Landkreis Traunstein;4,79328E+16;1,25892E+16;;0.0;very low;0;0;G;2120.95;80.16;170006.66;0.46;77403.82;0,2;True;True;736
Traunreut;Landkreis Traunstein;4,79621E+15;1,25391E+15;;0.0;very low;0;0;H;2120.95;136.14;288748.41;0.71;203806.26;0,2;True;True;737
Traunreut;Landkreis Traunstein;4,79326E+15;1,25884E+16;;0.0;very low;0;0;F;2120.95;149.24;316525.22;0.48;152597.41;0,3;True;True;738
Nußdorf;Landkreis Traunstein;4,7909E+15;1,25728E+16;;0.0;very low;0;0;G;2120.95;80.25;170198.39;0.55;94035.62;0,2;True;True;739
Kirchanschöring;Landkreis Traunstein;4,79571E+15;1,26722E+16;;0.0;very low;0;0;C;2120.95;140.51;298017.34;0.54;160805.27;0,2;True;True;740
Kirchanschöring;Landkreis Traunstein;4,79524E+15;1,27497E+16;;0.0;very low;0;0;C;2120.95;117.24;248665.23;0.6;148926.6;0,3;True;True;741
Waging am See;Landkreis Traunstein;4,79437E+15;1,2683E+16;;0.0;very low;0;0;C;2120.95;87.06;184643.24;0.7;129744.32;0,3;True;True;742
Waging am See;Landkreis Traunstein;4,79363E+15;1,27702E+16;;0.0;very low;0;0;C;2120.95;80.0;169675.71;0.53;90244.66;0,2;True;True;743
Taching am See;Landkreis Traunstein;4,7968E+15;1,27277E+15;;0.0;very low;0;0;B;2120.95;123.92;262817.86;0.68;177505.12;0,2;True;True;744
Grassau;Landkreis Traunstein;4,77771E+16;1,24428E+15;;0.0;very low;0;0;E;2120.95;80.0;169675.71;0.66;112617.31;0,2;True;True;745
Grassau;Landkreis Traunstein;4,7796E+15;1,24461E+15;;0.0;very low;0;0;E;2120.95;160.46;340331.76;0.42;142615.15;0,25;True;True;746
Staudach-Egerndach;Landkreis Traunstein;4,77889E+15;1,25153E+15;;0.0;very low;0;0;A;2120.95;150.04;318223.83;0.72;230632.06;0,2;True;True;747
Staudach-Egerndach;Landkreis Traunstein;4,77898E+15;1,24984E+16;;0.0;very low;0;0;H;2120.95;142.7;302660.52;0.73;221240.94;0,2;True;True;748
Palling;Landkreis Traunstein;4,79849E+14;1,26278E+16;;0.0;very low;0;0;E;2120.95;129.21;274046.62;0.64;175716.86;0,3;True;True;749
Fridolfing;Landkreis Traunstein;4,79724E+15;1,28082E+16;;0.0;very low;0;0;E;2120.95;101.25;214743.62;0.75;161057.71;0,3;True;True;750
Saaldorf-Surheim;Landkreis Berchtesgadener Land;4,7889E+16;1,2957E+15;;0.0;very low;0;0;D;3089.36;80.0;247149.03;0.49;121935.75;0,3;True;True;751
Freilassing;Landkreis Berchtesgadener Land;4,78441E+16;1,29419E+16;;0.0;very low;0;0;F;3089.36;80.0;247149.03;0.45;111452.5;0,2;True;True;752
Freilassing;Landkreis Berchtesgadener Land;4,78269E+16;1,29692E+16;;0.0;very low;0;0;D;3089.36;164.07;506864.92;0.74;377557.86;0,25;True;True;753
Freilassing;Landkreis Berchtesgadener Land;4,78264E+15;1,29743E+16;;0.0;very low;0;0;E;3089.36;80.0;247149.03;0.63;155455.25;0,2;True;True;754
Freilassing;Landkreis Berchtesgadener Land;4,78602E+14;1,29938E+16;;0.0;very low;0;0;H;3089.36;167.57;517686.83;0.51;265330.16;0,2;True;True;755
Piding;Landkreis Berchtesgadener Land;4,77835E+15;1,29061E+16;;0.0;very low;0;0;E;3089.36;163.54;505223.35;0.57;288173.24;0,2;True;True;756
Bischofswiesen;Landkreis Berchtesgadener Land;4,76694E+15;1,2948E+16;;0.0;very low;0;0;E;3089.36;155.08;479097.56;0.44;211780.35;0,2;True;True;757
Bischofswiesen;Landkreis Berchtesgadener Land;4,76839E+15;1,29226E+16;;0.0;very low;0;0;E;3089.36;80.0;247149.03;0.56;137454.26;0,2;True;True;758
Teisendorf;Landkreis Berchtesgadener Land;4,78789E+15;1,28562E+16;;0.0;very low;0;0;G;3089.36;80.95;250074.8;0.71;176325.06;0,2;True;True;759
Teisendorf;Landkreis Berchtesgadener Land;4,78465E+15;1,28716E+16;;0.0;very low;0;0;D;3089.36;166.73;515078.52;0.66;342242.35;0,2;True;True;760
Laufen;Landkreis Berchtesgadener Land;4,79175E+13;1,28545E+15;;0.0;very low;0;0;C;3089.36;108.33;334666.61;0.63;212391.1;0,2;True;True;761
Laufen;Landkreis Berchtesgadener Land;4,79222E+15;1,29227E+16;;0.0;very low;0;0;E;3089.36;135.77;419437.08;0.75;314577.81;0,2;True;True;762
Bayerisch Gmain;Landkreis Berchtesgadener Land;4,7694E+16;1,28957E+16;;0.0;very low;0;0;G;3089.36;80.0;247149.03;0.57;141834.14;0,25;True;True;763
Samerberg;Landkreis Rosenheim;4,77443E+15;1,22304E+16;;0.0;very low;0;0;F;3032.67;80.0;242613.8;0.5;120316.91;0,2;True;True;764
Wasserburg am Inn;Landkreis Rosenheim;4,80588E+15;1,21905E+16;;0.0;very low;0;0;E;3032.67;80.0;242613.8;0.56;135506.62;0,2;True;True;765
Wasserburg am Inn;Landkreis Rosenheim;4,8047E+15;1,22134E+15;;0.0;very low;0;0;B;3032.67;107.2;325101.33;0.55;179038.19;0,2;True;True;766
