ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Energieklasse;Quadratmeterpreise;aktuelles_LtV;darlehenbetrag;aktueller_immobilienwert;wohnflaeche;Schadensfaktor
Nürnberg;;4,94301E+15;1,10768E+14;;0;very low;E;4798;0,4658;134102,18;287880;60;0,04
Röthenbach an der Pegnitz;Landkreis Nürnberger Land;4,94607E+15;1,12291E+15;;0;very low;D;3585;0,5591;120269;215100;60;0,04
Röthenbach an der Pegnitz;Landkreis Nürnberger Land;4,94524E+15;1,12262E+16;;0;very low;F;3585;0,2511;58433,28;232722,93;64,92;0,04
Röthenbach an der Pegnitz;Landkreis Nürnberger Land;4,94677E+16;1,12314E+15;;0;very low;G;3585;0,4509;161785,88;358774,99;100,08;0,04
Neunkirchen a. Sand;Landkreis Nürnberger Land;4,95304E+15;1,13457E+15;;0;very low;E;3585;0,521;112058,98;215100;60;0,04
Reichenschwand;Landkreis Nürnberger Land;4,9516E+15;1,13838E+16;;0;very low;E;3585;0,4182;89945,25;215100;60;0,04
Ottensoos;Landkreis Nürnberger Land;4,9503E+16;1,13225E+15;;0;very low;A+;3585;0,4715;101427,66;215100;60;0,04
Mehring;Landkreis Altötting;4,81953E+16;1,27882E+16;;0;very low;G;3540;0,5956;173052,17;290552,89;82,08;0,04
Emmerting;Landkreis Altötting;4,82094E+15;1,27738E+16;;0;very low;B;3540;0,2308;81813,13;354540,51;100,15;0,04
Rohrdorf;Landkreis Rosenheim;4,77945E+15;1,21915E+16;;0;very low;H;5831;0,4882;170788,15;349860;60;0,04
Pullach im Isartal;Landkreis München;4,80522E+15;1,15214E+16;;0;very low;H;10155;0,6618;403232,29;609300;60;0,04
Pullach im Isartal;Landkreis München;4,80698E+15;1,15395E+16;;0;very low;E;10155;0,4183;254876,19;609300;60;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,96865E+15;1,21983E+16;;0;very low;G;2158;0,5446;148864,55;273323,27;126,66;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,96584E+15;1,22476E+15;;0;very low;A+;2158;0,634;117616,07;185516,92;85,97;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,96452E+15;1,20992E+16;;0;very low;E;2158;0,3957;91496,98;231247,12;107,16;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,96707E+15;1,21454E+16;;0;very low;G;2158;0,0801;177889,84;2221371,12;1029,37;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,96397E+15;1,22473E+16;;0;very low;D;2158;0,5337;69105,2;129480;60;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,96604E+16;1,22517E+16;;0;very low;D;2158;0,1742;115843,01;664867,27;308,09;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,96968E+15;1,22236E+15;;0;very low;B;2158;0,6917;89561,39;129480;60;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,96624E+15;1,2117E+16;;0;very low;G;2158;0,4236;151467,87;357603,06;165,71;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,96971E+15;1,21012E+16;;0;very low;F;2158;0,5954;190527,56;319976,75;148,27;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,96841E+15;1,22273E+16;;0;very low;G;2158;0,2039;61029,62;299311,38;138,7;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,9696E+15;1,21316E+15;;0;very low;A;2158;0,4284;68174,99;159133,47;73,74;0,04
Theisseil;Landkreis Neustadt an der Waldnaab;4,96285E+15;1,21281E+16;;0;very low;C;2158;0,1428;82444,93;577438,18;267,58;0,04
Weiden in der Oberpfalz;;4,96522E+15;1,21211E+14;;0;very low;E;2781;0,4186;69845,33;166860;60;0,04
Weiden in der Oberpfalz;;4,9657E+16;1,21027E+16;;0;very low;C;2781;0,6263;182515,55;291412,22;104,79;0,04
Weiden in der Oberpfalz;;4,9702E+14;1,21755E+15;;0;very low;E;2781;0,5349;89249,24;166860;60;0,04
Weiden in der Oberpfalz;;4,96447E+15;1,21308E+16;;0;very low;C;2781;0,4176;166574,46;398848,03;143,42;0,04
Weiden in der Oberpfalz;;4,9684E+16;1,22601E+15;;0;very low;A;2781;0,1916;136416,49;711806,78;255,95;0,04
Weiden in der Oberpfalz;;4,9629E+16;1,21167E+15;;0;very low;E;2781;0,3135;86636,15;276388,98;99,38;0,04
Weiden in der Oberpfalz;;4,96219E+15;1,21261E+16;;0;very low;D;2781;0,6408;162717,72;253939,72;91,31;0,04
Weiden in der Oberpfalz;;4,96478E+15;1,21221E+16;;0;very low;E;2781;0,5602;93478,08;166860;60;0,04
Weiden in der Oberpfalz;;4,97112E+15;1,22056E+16;;0;very low;E;2781;0,4864;86869,59;178605,91;64,22;0,04
Weiden in der Oberpfalz;;4,96844E+15;1,21205E+16;;0;very low;E;2781;0,4102;124865,39;304369,99;109,45;0,04
Weiden in der Oberpfalz;;4,96811E+15;1,21115E+16;;0;very low;D;2781;0,5141;85786,9;166860;60;0,04
Weiden in der Oberpfalz;;4,96694E+15;1,22135E+16;;0;very low;G;2781;0,1092;54441,32;498416,67;179,22;0,04
Rückersdorf;Landkreis Nürnberger Land;4,95187E+15;1,12341E+16;;0;very low;D;3585;0,4434;425223,55;959114,76;267,54;0,04
Nagel;Landkreis Wunsiedel im Fichtelgebirge;4,99852E+15;1,19365E+14;;0;very low;E;1589;0,7039;69636,94;98927,66;62,26;0,04
Heroldsberg;Landkreis Erlangen-Höchstadt;4,95509E+15;1,1053E+16;;0;very low;C;4319;0,4752;207708,69;437127,48;101,21;0,04
Heroldsberg;Landkreis Erlangen-Höchstadt;4,95185E+16;1,10912E+16;;0;very low;D;4319;0,2168;214520,92;989676,17;229,14;0,04
Heroldsberg;Landkreis Erlangen-Höchstadt;4,95355E+16;1,10996E+16;;0;very low;A;4319;0,5132;132995,6;259140;60;0,04
Kalchreuth;Landkreis Erlangen-Höchstadt;4,95304E+16;1,11542E+16;;0;very low;H;4319;0,3904;142216,67;364258,07;84,34;0,04
Kalchreuth;Landkreis Erlangen-Höchstadt;4,95116E+15;1,1138E+16;;0;very low;D;4319;0,3762;153092,31;406928,9;94,22;0,04
Kalchreuth;Landkreis Erlangen-Höchstadt;4,95678E+15;1,10819E+16;;0;very low;A+;4319;0,3474;90025,42;259140;60;0,04
Hollfeld;Landkreis Bayreuth;4,99254E+15;1,12995E+16;;0;very low;A;2260;0,4063;106920,34;263155,07;116,44;0,04
Schönbrunn i.Steigerwald;Landkreis Bamberg;4,98674E+15;1,06822E+16;;0;very low;E;2941;0,5489;110145,42;200651,28;68,23;0,04
Hallstadt;Landkreis Bamberg;4,9934E+15;1,08469E+15;;0;very low;A+;2941;0,1274;114798,58;900859,02;306,31;0,04
Hallstadt;Landkreis Bamberg;4,99212E+15;1,08737E+16;;0;very low;G;2941;0,5334;94119,12;176460;60;0,04
Breitengüßbach;Landkreis Bamberg;4,99604E+15;1,09298E+16;;0;very low;C;2941;0,1212;43629,75;360102;122,44;0,04
Viereth-Trunstadt;Landkreis Bamberg;4,99303E+15;1,07507E+16;;0;very low;D;2941;0,0816;319147,3;3910086,65;1329,51;0,04
Memmelsdorf;Landkreis Bamberg;4,99454E+15;1,09524E+16;;0;very low;G;2941;0,5199;91741,62;176460;60;0,04
Memmelsdorf;Landkreis Bamberg;4,99649E+15;1,09522E+16;;0;very low;F;2941;0,5905;104207,79;176460;60;0,04
Oberhaid;Landkreis Bamberg;4,99533E+15;1,08142E+16;;0;very low;D;2941;0,5006;117050,3;233827,9;79,51;0,04
Strullendorf;Landkreis Bamberg;4,98957E+14;1,10266E+16;;0;very low;D;2941;0,7251;153937,79;212310,64;72,19;0,04
Strullendorf;Landkreis Bamberg;4,98504E+15;1,10104E+16;;0;very low;D;2941;0,4805;105508,39;219579,86;74,66;0,04
Frensdorf;Landkreis Bamberg;4,98382E+15;1,08134E+16;;0;very low;A+;2941;0,5381;242889,09;451353,67;153,47;0,04
Rattelsdorf;Landkreis Bamberg;5,00324E+15;1,08631E+16;;0;very low;G;2941;0,3579;112745;315004,27;107,11;0,04
Bamberg;;4,99056E+15;1,08673E+16;;0;very low;C;3709;0,1589;121920,05;767219,13;206,85;0,04
Bamberg;;4,98838E+15;1,08976E+15;;0;very low;G;3709;0,188;110476,03;587654,59;158,44;0,04
Bamberg;;4,98713E+15;1,09054E+16;;0;very low;F;3709;0,3172;70585,42;222540;60;0,04
Burgebrach;Landkreis Bamberg;4,98438E+15;1,08075E+16;;0;very low;H;2941;0,5708;110797,7;194098,04;66;0,04
Burgebrach;Landkreis Bamberg;4,98177E+15;1,08003E+16;;0;very low;C;2941;0,3126;158790,94;507920,74;172,7;0,04
Stegaurach;Landkreis Bamberg;4,98517E+16;1,08687E+16;;0;very low;G;2941;0,5293;93405,33;176460;60;0,04
Stegaurach;Landkreis Bamberg;4,985E+15;1,08776E+16;;0;very low;A;2941;0,285;54172,57;190070,79;64,63;0,04
Michelau i.OFr.;Landkreis Lichtenfels;5,0161E+15;1,10996E+16;;0;very low;A;2265;0,7107;96590,53;135900;60;0,04
Michelau i.OFr.;Landkreis Lichtenfels;5,01704E+15;1,11272E+15;;0;very low;C;2265;0,4479;60869,85;135900;60;0,04
Weismain;Landkreis Lichtenfels;5,00444E+15;1,12527E+16;;0;very low;C;2265;0,554;156338,19;282186,76;124,59;0,04
Burgkunstadt;Landkreis Lichtenfels;5,01595E+15;1,1296E+16;;0;very low;E;2265;0,4931;116056,85;235367,27;103,91;0,04
Burgkunstadt;Landkreis Lichtenfels;5,01685E+15;1,12431E+16;;0;very low;C;2265;0,5313;111971,32;210765,37;93,05;0,04
Ebensfeld;Landkreis Lichtenfels;5,00683E+15;1,09628E+16;;0;very low;H;2265;0,6223;155998,86;250666,32;110,67;0,04
Ebensfeld;Landkreis Lichtenfels;5,00812E+15;1,09341E+16;;0;very low;E;2265;0,733;99610,71;135900;60;0,04
Stockheim;Landkreis Kronach;5,03003E+15;1,13134E+16;;0;very low;D;1318;0,6719;87450,33;130149,08;98,75;0,04
Reichenbach;Landkreis Kronach;5,03616E+15;1,13743E+16;;0;very low;C;1318;0,6073;96672,03;159180,09;120,77;0,04
Teuschnitz;Landkreis Kronach;5,04026E+15;1,14117E+14;;0;very low;F;1318;0,1531;67107,41;438374,94;332,61;0,04
Kulmbach;Landkreis Kulmbach;5,02058E+15;1,12973E+16;;0;very low;D;2009;0,539;134331,55;249225,02;124,05;0,04
Weißenbrunn;Landkreis Kronach;5,02095E+15;1,13129E+16;;0;very low;G;1318;0,4312;95125,85;220601,36;167,38;0,04
Küps;Landkreis Kronach;5,01668E+15;1,13134E+16;;0;very low;A+;1318;0,5354;70356,23;131411,28;99,71;0,04
Küps;Landkreis Kronach;5,01947E+15;1,12596E+16;;0;very low;B;1318;0,6373;269831,66;423386,5;321,23;0,04
Steinwiesen;Landkreis Kronach;5,03545E+15;1,14338E+15;;0;very low;B;1318;0,6174;89462,94;144892,52;109,93;0,04
Marktrodach;Landkreis Kronach;5,02798E+15;1,14068E+16;;0;very low;G;1318;0,4955;105279,41;212490,03;161,22;0,04
Mitwitz;Landkreis Kronach;5,02514E+15;1,12454E+16;;0;very low;D;1318;0,4379;274738,87;627389,5;476,02;0,04
Ludwigsstadt;Landkreis Kronach;5,04717E+15;1,13361E+16;;0;very low;E;1318;0,4344;57566,15;132527,86;100,55;0,04
Tettau;Landkreis Kronach;5,0406E+15;1,12689E+16;;0;very low;A;1318;0,6788;261950,18;385884,41;292,78;0,04
Kronach;Landkreis Kronach;5,02189E+16;1,13839E+15;;0;very low;E;1318;0,5541;102429,39;184846,47;140,25;0,04
Kronach;Landkreis Kronach;5,02928E+15;1,1313E+16;;0;very low;A;1318;0,5733;57874,84;100951,74;76,59;0,04
Kronach;Landkreis Kronach;5,02302E+16;1,13048E+15;;0;very low;C;1318;0,457;70563,65;154393,22;117,14;0,04
Kronach;Landkreis Kronach;5,02578E+15;1,12728E+16;;0;very low;E;1318;0,6103;160421,71;262877,31;199,45;0,04
Kronach;Landkreis Kronach;5,02017E+15;1,13786E+16;;0;very low;C;1318;0,1036;78736,07;759724,88;576,42;0,04
Wallenfels;Landkreis Kronach;5,02851E+15;1,15079E+15;;0;very low;D;1318;0,735;58124,3;79080;60;0,04
Steinbach am Wald;Landkreis Kronach;5,04335E+15;1,13237E+16;;0;very low;D;1318;0,3813;115998,79;304230,26;230,83;0,04
Pressig;Landkreis Kronach;5,03661E+15;1,13064E+15;;0;very low;D;1318;0,4542;114287,31;251606,85;190,9;0,04
Wilhelmsthal;Landkreis Kronach;5,03201E+15;1,14049E+16;;0;very low;G;1318;0,631;88372,06;140045,87;106,26;0,04
Großheirath;Landkreis Coburg;5,01821E+14;1,09098E+16;;0;very low;E;1860;0,5393;87303,16;161897,16;87,04;0,04
Eltmann;Landkreis Haßberge;4,99412E+15;1,07097E+16;;0;very low;A+;2045;0,436;72532;166366,97;81,35;0,04
Königsberg in Bayern;Landkreis Haßberge;5,00834E+16;1,05266E+16;;0;very low;C;2045;0,7099;120277,56;169417,45;82,84;0,04
Oberaurach;Landkreis Haßberge;4,99354E+15;1,05935E+16;;0;very low;C;2045;0,6853;112325,57;163903,06;80,15;0,04
Wonfurt;Landkreis Haßberge;4,9989E+15;1,04566E+16;;0;very low;A;2045;0,3147;145620,39;462655,61;226,24;0,04
Zeil am Main;Landkreis Haßberge;5,00089E+15;1,06129E+15;;0;very low;G;2045;0,3129;115830,55;370210,58;181,03;0,04
Zeil am Main;Landkreis Haßberge;5,00407E+14;1,06111E+16;;0;very low;A+;2045;0,2775;198703,84;715985,77;350,12;0,04
Ebelsbach;Landkreis Haßberge;4,99983E+15;1,07257E+16;;0;very low;E;2045;0,5364;154122,03;287323,17;140,5;0,04
Knetzgau;Landkreis Haßberge;4,9975E+15;1,05366E+16;;0;very low;A;2045;0,5492;70573,27;128507,1;62,84;0,04
Knetzgau;Landkreis Haßberge;4,99613E+15;1,05517E+16;;0;very low;C;2045;0,1148;149509,97;1302348,78;636,85;0,04
Zellingen;Landkreis Main-Spessart;4,98879E+15;9,81504E+15;;0;very low;F;2337;0,146;63882,09;437641,9;187,27;0,04
Zellingen;Landkreis Main-Spessart;4,99182E+16;9,72497E+15;;0;very low;C;2337;0,3065;147251,88;480368,58;205,55;0,04
Frammersbach;Landkreis Main-Spessart;5,00753E+15;9,37398E+15;;0;very low;A;2337;0,5778;81016,59;140220;60;0,04
Gemünden am Main;Landkreis Main-Spessart;5,00573E+16;9,67145E+15;;0;very low;E;2337;0,4056;56871,65;140220;60;0,04
Gemünden am Main;Landkreis Main-Spessart;5,00647E+16;9,63302E+15;;0;very low;D;2337;0,3399;308742,74;908204,94;388,62;0,04
Gemünden am Main;Landkreis Main-Spessart;5,00666E+15;9,6309E+15;;0;very low;C;2337;0,4556;119966,72;263291,54;112,66;0,04
Rieneck;Landkreis Main-Spessart;5,01076E+15;9,64761E+14;;0;very low;E;2337;0,4298;60261,98;140220;60;0,04
Partenstein;Landkreis Main-Spessart;5,00472E+16;9,51201E+15;;0;very low;F;2337;0,1563;127178,47;813937,29;348,28;0,04
Karlstadt;Landkreis Main-Spessart;4,99975E+15;9,64074E+15;;0;very low;C;2337;0,586;82168,22;140220;60;0,04
Karlstadt;Landkreis Main-Spessart;5,00063E+15;9,7684E+15;;0;very low;H;2337;0,4222;96961,49;229658,69;98,27;0,04
Karlstadt;Landkreis Main-Spessart;4,9941E+15;9,8305E+15;;0;very low;E;2337;0,0723;192496,55;2661903,45;1139,03;0,04
Karlstadt;Landkreis Main-Spessart;4,99382E+14;9,73623E+15;;0;very low;C;2337;0,4815;164165,42;340948,71;145,89;0,04
Lohr am Main;Landkreis Main-Spessart;5,01032E+15;9,57794E+15;;0;very low;F;2337;0,4205;164733,43;391777,49;167,64;0,04
Lohr am Main;Landkreis Main-Spessart;5,00854E+15;9,52829E+15;;0;very low;C;2337;0,4937;117052,9;237092,31;101,45;0,04
Lohr am Main;Landkreis Main-Spessart;4,99842E+15;9,58328E+14;;0;very low;E;2337;0,3304;144760,69;438126,73;187,47;0,04
Lohr am Main;Landkreis Main-Spessart;5,00865E+15;9,52992E+15;;0;very low;G;2337;0,5708;119787,15;209862,49;89,8;0,04
Burgsinn;Landkreis Main-Spessart;5,01656E+15;9,69855E+15;;0;very low;E;2337;0,5701;116639,52;204609,7;87,55;0,04
Erlenbach b. Marktheidenfeld;Landkreis Main-Spessart;4,98277E+16;9,61912E+14;;0;very low;D;2337;0,4892;214222,7;437933,91;187,39;0,04
Arnstein;Landkreis Main-Spessart;4,99749E+15;9,98663E+15;;0;very low;A+;2337;0,1486;51318,72;345290,56;147,75;0,04
Arnstein;Landkreis Main-Spessart;4,99889E+15;9,9126E+15;;0;very low;G;2337;0,2859;62873,69;219951,14;94,12;0,04
Steinfeld;Landkreis Main-Spessart;4,99706E+16;9,60862E+15;;0;very low;A;2337;0,1718;77516,03;451102,27;193,03;0,04
Hafenlohr;Landkreis Main-Spessart;4,99414E+15;9,51151E+15;;0;very low;C;2337;0,4787;101031,41;211036,37;90,3;0,04
Rothenbuch;Landkreis Aschaffenburg;4,99429E+15;9,50639E+14;;0;very low;E;3619;0,4067;143095,31;351809,28;97,21;0,04
Faulbach;Landkreis Miltenberg;4,97776E+15;9,44588E+14;;0;very low;E;2785;0,2389;168155,91;703922,26;252,75;0,04
Kreuzwertheim;Landkreis Main-Spessart;4,97876E+15;9,54016E+15;;0;very low;B;2337;0,3943;107208,13;271863,37;116,33;0,04
Schwarzach am Main;Landkreis Kitzingen;4,9803E+15;1,02028E+16;;0;very low;G;2868;0,4982;143539,1;288125,62;100,46;0,04
Gollhofen;Landkreis Neustadt an der Aisch-Bad Windsheim;4,95557E+15;1,01127E+16;;0;very low;A+;2687;0,6262;100961,92;161220;60;0,04
Hemmersheim;Landkreis Neustadt an der Aisch-Bad Windsheim;4,9587E+15;1,01743E+15;;0;very low;D;2687;0,4269;98984,04;231852,26;86,29;0,04
Ippesheim;Landkreis Neustadt an der Aisch-Bad Windsheim;4,95689E+15;1,0113E+15;;0;very low;H;2687;0,7186;115850,41;161220;60;0,04
Oberickelsheim;Landkreis Neustadt an der Aisch-Bad Windsheim;4,96036E+15;1,02531E+16;;0;very low;D;2687;0,6719;108325,42;161220;60;0,04
Wiesentheid;Landkreis Kitzingen;4,98161E+15;1,02538E+15;;0;very low;B;2868;0,4163;77687,65;186593,18;65,06;0,04
Marktbreit;Landkreis Kitzingen;4,9638E+15;1,01557E+16;;0;very low;D;2868;0,4057;81345,8;200488,73;69,91;0,04
Martinsheim;Landkreis Kitzingen;4,96264E+16;1,01244E+16;;0;very low;H;2868;0,2029;103918,56;512099,98;178,56;0,04
Segnitz;Landkreis Kitzingen;4,96271E+16;1,01132E+16;;0;very low;E;2868;0,121;53530,16;442527,72;154,3;0,04
Volkach;Landkreis Kitzingen;4,98734E+15;1,01774E+16;;0;very low;G;2868;0,4287;133834,76;312220,18;108,86;0,04
Volkach;Landkreis Kitzingen;4,98831E+15;1,02329E+16;;0;very low;F;2868;0,5194;89377,44;172080;60;0,04
Prichsenstadt;Landkreis Kitzingen;4,98469E+15;1,03283E+15;;0;very low;E;2868;0,4667;206335,91;442131,62;154,16;0,04
Iphofen;Landkreis Kitzingen;4,96704E+15;1,02692E+14;;0;very low;E;2868;0,4509;124236,25;275531,87;96,07;0,04
Dettelbach;Landkreis Kitzingen;4,9805E+15;1,01202E+16;;0;very low;D;2868;0,6538;112511,82;172080;60;0,04
Dettelbach;Landkreis Kitzingen;4,98266E+16;1,01706E+16;;0;very low;B;2868;0,7075;201645,65;285007,2;99,37;0,04
Simmershofen;Landkreis Neustadt an der Aisch-Bad Windsheim;4,94912E+15;1,01708E+15;;0;very low;E;2687;0,458;136846,8;298775,42;111,19;0,04
Simmershofen;Landkreis Neustadt an der Aisch-Bad Windsheim;4,9567E+15;1,02759E+15;;0;very low;F;2687;0,4694;113480,92;241758,4;89,97;0,04
Uffenheim;Landkreis Neustadt an der Aisch-Bad Windsheim;4,95288E+15;1,02693E+16;;0;very low;E;2687;0,1583;126510,7;798990,91;297,35;0,04
Uffenheim;Landkreis Neustadt an der Aisch-Bad Windsheim;4,95896E+15;1,02296E+16;;0;very low;D;2687;0,6042;260249,64;430704,62;160,29;0,04
Weigenheim;Landkreis Neustadt an der Aisch-Bad Windsheim;4,95255E+15;1,02627E+15;;0;very low;C;2687;0,4131;103279,49;249986,11;93,04;0,04
Weigenheim;Landkreis Neustadt an der Aisch-Bad Windsheim;4,95009E+15;1,02107E+15;;0;very low;C;2687;0,088;90630,1;1029916,11;383,3;0,04
Biebelried;Landkreis Kitzingen;4,97284E+16;1,01254E+16;;0;very low;D;2868;0,6031;103787,64;172080;60;0,04
Biebelried;Landkreis Kitzingen;4,97263E+15;1,01648E+15;;0;very low;H;2868;0,1438;367648,29;2557218,97;891,64;0,04
Biebelried;Landkreis Kitzingen;4,97131E+15;1,01819E+16;;0;very low;H;2868;0,5914;143025,35;241852,49;84,33;0,04
Biebelried;Landkreis Kitzingen;4,97382E+15;1,0107E+16;;0;very low;H;2868;0,5273;119947,65;227458,86;79,31;0,04
Biebelried;Landkreis Kitzingen;4,97747E+15;1,00622E+16;;0;very low;F;2868;0,3615;62201,37;172080;60;0,04
Biebelried;Landkreis Kitzingen;4,97684E+16;1,0077E+16;;0;very low;D;2868;0,4768;82039,61;172080;60;0,04
Kitzingen;Landkreis Kitzingen;4,97375E+15;1,00769E+16;;0;very low;E;2868;0,5282;145517,82;275500,6;96,06;0,04
Kitzingen;Landkreis Kitzingen;4,97397E+15;1,01594E+16;;0;very low;B;2868;0,3788;319142,05;842462,65;293,75;0,04
Kitzingen;Landkreis Kitzingen;4,9716E+16;1,01563E+16;;0;very low;E;2868;0,6555;117204,26;178809,42;62,35;0,04
Kitzingen;Landkreis Kitzingen;4,97354E+16;1,00607E+15;;0;very low;G;2868;0,1739;188911,26;1086424,7;378,81;0,04
Kitzingen;Landkreis Kitzingen;4,97418E+15;1,01913E+16;;0;very low;D;2868;0,4318;114019,96;264081,83;92,08;0,04
Kitzingen;Landkreis Kitzingen;4,9748E+16;1,0178E+16;;0;very low;C;2868;0,6944;119489,64;172080;60;0,04
Abtswind;Landkreis Kitzingen;4,97499E+16;1,03253E+15;;0;very low;B;2868;0,3413;244565,47;716645,33;249,88;0,04
Castell;Landkreis Kitzingen;4,97893E+14;1,02676E+16;;0;very low;E;2868;0,5053;115672,11;228905,99;79,81;0,04
Kleinlangheim;Landkreis Kitzingen;4,97831E+15;1,02379E+16;;0;very low;C;2868;0,4232;145064,18;342761,06;119,51;0,04
Rüdenhausen;Landkreis Kitzingen;4,9778E+15;1,02805E+16;;0;very low;B;2868;0,3699;63653,94;172080;60;0,04
Wiesenbronn;Landkreis Kitzingen;4,97142E+15;1,03715E+16;;0;very low;D;2868;0,2072;173195,6;835952,46;291,48;0,04
Marktsteft;Landkreis Kitzingen;4,96908E+15;1,01621E+16;;0;very low;A;2868;0,3591;201469,47;560992,67;195,6;0,04
Obernbreit;Landkreis Kitzingen;4,96497E+16;1,02116E+15;;0;very low;E;2868;0,6089;196197,34;322193,08;112,34;0,04
Seinsheim;Landkreis Kitzingen;4,96372E+15;1,02206E+15;;0;very low;F;2868;0,4709;81024,1;172080;60;0,04
Grettstadt;Landkreis Schweinfurt;4,99685E+15;1,03073E+16;;0;very low;H;2375;0,4292;132457,67;308641,09;129,95;0,04
Frankenwinheim;Landkreis Schweinfurt;4,98893E+13;1,03251E+15;;0;very low;H;2375;0,4553;123980,19;272301,23;114,65;0,04
Frankenwinheim;Landkreis Schweinfurt;4,99072E+16;1,02976E+16;;0;very low;B;2375;0,4942;70416,77;142500;60;0,04
Gerolzhofen;Landkreis Schweinfurt;4,9877E+15;1,03242E+16;;0;very low;B;2375;0,4719;135102,85;286322,77;120,56;0,04
Gerolzhofen;Landkreis Schweinfurt;4,98942E+15;1,03567E+16;;0;very low;G;2375;0,5119;146345,22;285884,51;120,37;0,04
Gochsheim;Landkreis Schweinfurt;5,00017E+15;1,02667E+15;;0;very low;A+;2375;0,27;270335,71;1001110,59;421,52;0,04
Gochsheim;Landkreis Schweinfurt;5,00118E+15;1,02708E+16;;0;very low;H;2375;0,5925;119923,86;202391,63;85,22;0,04
Sulzheim;Landkreis Schweinfurt;4,99628E+15;1,03403E+16;;0;very low;E;2375;0,1288;88076,91;684077,77;288,03;0,04
Donnersdorf;Landkreis Schweinfurt;4,99968E+15;1,03916E+16;;0;very low;E;2375;0,1063;92753,69;872439,09;367,34;0,04
Schweinfurt;;5,00746E+16;1,02383E+16;;0;very low;E;3111;0,1926;90178,35;468212,91;150,5;0,04
Schweinfurt;;5,00562E+16;1,02609E+16;;0;very low;A;3111;0,4206;114986,95;273389,17;87,88;0,04
Schweinfurt;;5,00512E+15;1,02549E+15;;0;very low;C;3111;0,2505;63426,41;253165,66;81,38;0,04
Schweinfurt;;5,00542E+14;1,02267E+15;;0;very low;H;3111;0,3637;148188,16;407489,13;130,98;0,04
Schweinfurt;;5,00717E+16;1,02558E+16;;0;very low;D;3111;0,5531;175245,28;316868,07;101,85;0,04
Schweinfurt;;5,00817E+15;1,02598E+16;;0;very low;H;3111;0,571;118053,7;206758,49;66,46;0,04
Schonungen;Landkreis Schweinfurt;5,00756E+15;1,03252E+16;;0;very low;D;2375;0,7254;129974,01;179178,3;75,44;0,04
Schonungen;Landkreis Schweinfurt;5,01221E+15;1,03484E+16;;0;very low;D;2375;0,3871;84490,33;218239,97;91,89;0,04
Aura a.d.Saale;Landkreis Bad Kissingen;5,01763E+15;1,00617E+16;;0;very low;F;2099;0,2249;101824,36;452760,9;215,7;0,04
Euerdorf;Landkreis Bad Kissingen;5,01557E+14;1,00823E+15;;0;very low;C;2099;0,7219;90917,29;125940;60;0,04
Sulzthal;Landkreis Bad Kissingen;5,01507E+15;1,00207E+15;;0;very low;C;2099;0,38;149760,42;394117,11;187,76;0,04
Oerlenbach;Landkreis Bad Kissingen;5,01342E+14;1,0093E+16;;0;very low;C;2099;0,4205;52958,23;125940;60;0,04
Burkardroth;Landkreis Bad Kissingen;5,03012E+15;9,98916E+15;;0;very low;E;2099;0,4379;238108,17;543759,91;259,06;0,04
Burkardroth;Landkreis Bad Kissingen;5,02943E+16;1E+16;;0;very low;D;2099;0,4057;51088,84;125940;60;0,04
Zeitlofs;Landkreis Bad Kissingen;5,0251E+15;9,67608E+15;;0;very low;D;2099;0,673;84753,69;125940;60;0,04
Nüdlingen;Landkreis Bad Kissingen;5,02499E+15;1,01355E+15;;0;very low;G;2099;0,123;122034,67;992083,87;472,65;0,04
Hammelburg;Landkreis Bad Kissingen;5,016E+15;9,92489E+15;;0;very low;A+;2099;0,4276;153341,92;358619,79;170,85;0,04
Hammelburg;Landkreis Bad Kissingen;5,00305E+16;9,9343E+14;;0;very low;A+;2099;0,2368;143139,8;604550,02;288,02;0,04
Hammelburg;Landkreis Bad Kissingen;5,00711E+15;9,87179E+14;;0;very low;C;2099;0,2532;129503,46;511549,1;243,71;0,04
Oberleichtersbach;Landkreis Bad Kissingen;5,02831E+15;9,80342E+15;;0;very low;E;2099;0,0882;72831,86;825845,17;393,45;0,04
Ochsenfurt;Landkreis Würzburg;4,96127E+16;1,00518E+15;;0;very low;F;3022;0,7036;130316,74;185207,79;61,29;0,04
Ochsenfurt;Landkreis Würzburg;4,97057E+16;1,00727E+16;;0;very low;F;3022;0,6268;177453,67;283096,39;93,68;0,04
Ochsenfurt;Landkreis Würzburg;4,9692E+15;1,00661E+15;;0;very low;D;3022;0,3872;111206,52;287176,73;95,03;0,04
Thüngersheim;Landkreis Würzburg;4,98793E+14;9,83979E+15;;0;very low;G;3022;0,5935;107606,44;181320;60;0,04
