ID;ort;landkreis;latitude;longitude;GEB_HQ;flood_risk;Energieklasse;Quadratmeterpreise;aktuelles_LtV;darlehenbetrag;aktueller_immobilienwert;wohnflaeche
696;Ergolding;Landkreis Landshut;4858990000000000,0;1209580000000000,0;;very low;E;6042,0;0,0748;97917,8;1308977,54;216,65
697;Ergolding;Landkreis Landshut;485625000000000,0;121781000000000,0;;very low;A+;6042,0;0,5654;204961,72;362520,0;60,0
698;Ergolding;Landkreis Landshut;4855490000000000,0;1,21397e+16;;very low;C;6042,0;0,6477;234798,61;362520,0;60,0
699;Ergolding;Landkreis Landshut;4,85743e+16;1,21416e+16;;very low;E;6042,0;0,1161;100058,49;862183,92;142,7
700;Landshut;;4,86038e+16;1211350000000000,0;;very low;D;6042,0;0,485;175817,94;362520,0;60,0
701;Landshut;;4,86066e+16;1,21307e+16;;very low;C;6042,0;0,0877;141966,62;1618535,9;267,88
702;Landshut;;4856880000000000,0;1,21334e+16;;very low;D;6042,0;0,4051;146859,86;362520,0;60,0
703;Landshut;;485828000000000,0;1215180000000000,0;;very low;G;6042,0;0,2691;97545,99;362520,0;60,0
704;Stadtbergen;Landkreis Augsburg;4836090000000000,0;1083350000000000,0;;very low;C;4262,0;0,5548;141867,85;255720,0;60,0
705;Stadtbergen;Landkreis Augsburg;4,83599e+16;1,08433e+16;;very low;A+;4262,0;0,4228;120111,42;284074,57;66,65
706;Stadtbergen;Landkreis Augsburg;4,83514e+16;1,08426e+16;;very low;A;4262,0;0,2197;125212,18;569864,89;133,71
707;Stadtbergen;Landkreis Augsburg;483523000000000,0;1,08068e+16;;very low;H;4262,0;0,5217;133409,85;255720,0;60,0
708;Adelsried;Landkreis Augsburg;4841130000000000,0;1,0738e+16;;very low;E;4262,0;0,5616;143624,76;255720,0;60,0
709;Gersthofen;Landkreis Augsburg;4842780000000000,0;1080150000000000,0;;very low;C;4262,0;0,6801;173912,13;255720,0;60,0
710;Gersthofen;Landkreis Augsburg;4845240000000000,0;1,0871e+16;;very low;D;4262,0;0,3212;98068,43;305321,08;71,64
711;Gersthofen;Landkreis Augsburg;4843300000000000,0;1,08341e+16;;very low;D;4262,0;0,46;169246,02;367919,47;86,33
712;Gersthofen;Landkreis Augsburg;4842020000000000,0;108724000000000,0;;very low;D;4262,0;0,4346;111130,64;255720,0;60,0
713;Gersthofen;Landkreis Augsburg;4843390000000000,0;1,08118e+16;;very low;B;4262,0;0,1554;86385,43;555875,86;130,43
714;Gersthofen;Landkreis Augsburg;4840560000000000,0;1,08662e+16;;very low;F;4262,0;0,734;187705,97;255720,0;60,0
715;Neusäß;Landkreis Augsburg;4,84123e+16;1,08096e+16;;very low;A;4262,0;0,7041;180042,98;255720,0;60,0
716;Neusäß;Landkreis Augsburg;484004000000000,0;1,08361e+16;;very low;H;4262,0;0,6327;161799,75;255720,0;60,0
717;Neusäß;Landkreis Augsburg;484073000000000,0;1,0807e+16;;very low;D;4262,0;0,5945;152018,55;255720,0;60,0
718;Neusäß;Landkreis Augsburg;4838370000000000,0;1077040000000000,0;;very low;E;4262,0;0,5413;138426,26;255720,0;60,0
719;Neusäß;Landkreis Augsburg;4838820000000000,0;1082860000000000,0;;very low;D;4262,0;0,2639;67481,57;255720,0;60,0
720;Neusäß;Landkreis Augsburg;4841550000000000,0;1,08026e+16;;very low;A;4262,0;0,1699;56981,24;335371,55;78,69
721;Aystetten;Landkreis Augsburg;4,84047e+16;1076250000000000,0;;very low;D;4262,0;0,3208;105721,53;329527,38;77,32
722;Hilgertshausen-Tandern;Landkreis Dachau;4843020000000000,0;1,133e+16;;very low;E;6456,0;0,2706;104830,14;387360,0;60,0
723;Rimpar;Landkreis Würzburg;4984650000000000,0;991880000000000,0;;very low;F;3022,0;0,4225;76600,86;181320,0;60,0
724;Rimpar;Landkreis Würzburg;4,9895e+16;9960540000000000,0;;very low;B;3022,0;0,3493;74126,14;212241,87;70,23
725;Bergtheim;Landkreis Würzburg;4987110000000000,0;1,00883e+16;;very low;E;3022,0;0,5104;157550,21;308695,28;102,15
726;Oberpleichfeld;Landkreis Würzburg;4990620000000000,0;1,00449e+16;;very low;C;3022,0;0,3411;83507,43;244837,88;81,02
727;Röttingen;Landkreis Würzburg;4951410000000000,0;9988370000000000,0;;very low;H;3022,0;0,4455;154289,8;346306,5;114,6
728;Tauberrettersheim;Landkreis Würzburg;4949010000000000,0;9968990000000000,0;;very low;A;3022,0;0,4779;119890,67;250857,94;83,01
729;Sommerhausen;Landkreis Würzburg;4972290000000000,0;9991890000000000,0;;very low;E;3022,0;0,2068;80926,6;391322,85;129,49
730;Winterhausen;Landkreis Würzburg;4970160000000000,0;1,00355e+16;;very low;F;3022,0;0,5072;120420,24;237419,19;78,56
731;Holzkirchen;Landkreis Würzburg;4980040000000000,0;9716400000000000,0;;very low;G;3022,0;0,5024;154343,31;307195,57;101,65
732;Uettingen;Landkreis Würzburg;4980090000000000,0;9739900000000000,0;;very low;C;3022,0;0,358;123546,33;345054,29;114,18
733;Unterwössen;Landkreis Traunstein;4,77241e+16;1,24463e+16;;very low;A;4078,000000000001;0,6111;149518,36;244680,0;60,0
734;Schnaitsee;Landkreis Traunstein;4810750000000000,0;1,24e+16;;very low;E;4078,000000000001;0,2327;69015,34;296551,62;72,72
735;Traunreut;Landkreis Traunstein;4796130000000000,0;126014000000000,0;;very low;D;4078,000000000001;0,5864;154792,49;263957,26;64,73
736;Traunreut;Landkreis Traunstein;4,79328e+16;1,25892e+16;;very low;G;4078,000000000001;0,3202;78345,17;244680,0;60,0
737;Traunreut;Landkreis Traunstein;4796210000000000,0;1253910000000000,0;;very low;H;4078,000000000001;0,3115;76220,21;244680,0;60,0
738;Traunreut;Landkreis Traunstein;4793260000000000,0;1,25884e+16;;very low;F;4078,000000000001;0,7277;178059,46;244680,0;60,0
739;Nußdorf;Landkreis Traunstein;4790900000000000,0;1,25728e+16;;very low;G;4078,000000000001;0,2517;113013,19;448982,45;110,1
740;Kirchanschöring;Landkreis Traunstein;4795710000000000,0;1,26722e+16;;very low;C;4078,000000000001;0,2861;106703,04;372947,68;91,45
741;Kirchanschöring;Landkreis Traunstein;4795240000000000,0;1,27497e+16;;very low;C;4078,000000000001;0,6904;168934,69;244680,0;60,0
742;Waging am See;Landkreis Traunstein;4794370000000000,0;1,2683e+16;;very low;C;4078,000000000001;0,6258;153132,74;244680,0;60,0
743;Waging am See;Landkreis Traunstein;4793630000000000,0;1,27702e+16;;very low;C;4078,000000000001;0,2645;64729,8;244680,0;60,0
744;Taching am See;Landkreis Traunstein;4796800000000000,0;1272770000000000,0;;very low;B;4078,000000000001;0,3652;115057,78;315062,26;77,26
745;Grassau;Landkreis Traunstein;4,77771e+16;1244280000000000,0;;very low;E;4078,000000000001;0,4875;119285,14;244680,0;60,0
746;Grassau;Landkreis Traunstein;4779600000000000,0;1244610000000000,0;;very low;E;4078,000000000001;0,5362;131208,04;244680,0;60,0
747;Staudach-Egerndach;Landkreis Traunstein;4778890000000000,0;1251530000000000,0;;very low;A;4078,000000000001;0,2467;70603,97;286197,02;70,18
748;Staudach-Egerndach;Landkreis Traunstein;4778980000000000,0;1,24984e+16;;very low;H;4078,000000000001;0,1468;470658,32;3207049,29;786,43
749;Palling;Landkreis Traunstein;479849000000000,0;1,26278e+16;;very low;E;4078,000000000001;0,7273;177963,14;244680,0;60,0
750;Fridolfing;Landkreis Traunstein;4797240000000000,0;1,28082e+16;;very low;E;4078,000000000001;0,6473;158382,63;244680,0;60,0
751;Saaldorf-Surheim;Landkreis Berchtesgadener Land;4,7889e+16;1295700000000000,0;;very low;D;5940,0;0,661;235572,08;356400,0;60,0
752;Freilassing;Landkreis Berchtesgadener Land;4,78441e+16;1,29419e+16;;very low;F;5940,0;0,4547;162051,84;356400,0;60,0
753;Freilassing;Landkreis Berchtesgadener Land;4,78269e+16;1,29692e+16;;very low;D;5940,0;0,5577;198775,6;356400,0;60,0
754;Freilassing;Landkreis Berchtesgadener Land;4782640000000000,0;1,29743e+16;;very low;E;5940,0;0,209;74497,28;356400,0;60,0
755;Freilassing;Landkreis Berchtesgadener Land;478602000000000,0;1,29938e+16;;very low;H;5940,0;0,2803;116368,45;415121,42;69,89
756;Piding;Landkreis Berchtesgadener Land;4778350000000000,0;1,29061e+16;;very low;E;5940,0;0,2797;178411,35;637927,76;107,4
757;Bischofswiesen;Landkreis Berchtesgadener Land;4766940000000000,0;1,2948e+16;;very low;E;5940,0;0,291;103725,19;356400,0;60,0
758;Bischofswiesen;Landkreis Berchtesgadener Land;4768390000000000,0;1,29226e+16;;very low;E;5940,0;0,4029;143593,27;356400,0;60,0
759;Teisendorf;Landkreis Berchtesgadener Land;4787890000000000,0;1,28562e+16;;very low;G;5940,0;0,4106;174333,34;424585,22;71,48
760;Teisendorf;Landkreis Berchtesgadener Land;4784650000000000,0;1,28716e+16;;very low;D;5940,0;0,4517;161002,2;356400,0;60,0
761;Laufen;Landkreis Berchtesgadener Land;47917500000000,0;1285450000000000,0;;very low;C;5940,0;0,3813;226156,78;593070,78;99,84
762;Laufen;Landkreis Berchtesgadener Land;4792220000000000,0;1,29227e+16;;very low;E;5940,0;0,4025;171565,54;426269,32;71,76
763;Bayerisch Gmain;Landkreis Berchtesgadener Land;4,7694e+16;1,28957e+16;;very low;G;5940,0;0,5182;184693,52;356400,0;60,0
764;Samerberg;Landkreis Rosenheim;4774430000000000,0;1,22304e+16;;very low;F;5831,0;0,4571;178246,12;389988,46;66,88
765;Wasserburg am Inn;Landkreis Rosenheim;4805880000000000,0;1,21905e+16;;very low;E;5831,0;0,3206;112179,19;349860,0;60,0
766;Wasserburg am Inn;Landkreis Rosenheim;4804700000000000,0;1221340000000000,0;;very low;B;5831,0;0,3709;129775,29;349860,0;60,0
767;Wasserburg am Inn;Landkreis Rosenheim;4803300000000000,0;1,21891e+16;;very low;G;5831,0;0,6003;334685,29;557509,88;95,61
768;Oberaudorf;Landkreis Rosenheim;4763500000000000,0;1,21931e+16;;very low;D;5831,0;0,7087;247931,64;349860,0;60,0
769;Flintsbach am Inn;Landkreis Rosenheim;4773180000000000,0;1,21322e+16;;very low;G;5831,0;0,3589;125553,52;349860,0;60,0
770;Edling;Landkreis Rosenheim;4806350000000000,0;1213150000000000,0;;very low;E;5831,0;0,7354;257274,86;349860,0;60,0
771;Maitenbeth;Landkreis Mühldorf am Inn;4815570000000000,0;1,20825e+16;;very low;C;4119,0;0,295;282192,63;956429,41;232,2
772;Bad Endorf;Landkreis Rosenheim;4792360000000000,0;1,23168e+16;;very low;D;5831,0;0,4819;168585,88;349860,0;60,0
773;Bad Endorf;Landkreis Rosenheim;4792500000000000,0;1227770000000000,0;;very low;C;5831,0;0,5224;182763,17;349860,0;60,0
774;Söchtenau;Landkreis Rosenheim;4,79297e+16;1,22248e+16;;very low;G;5831,0;0,1267;308809,55;2437042,17;417,95
775;Nußdorf am Inn;Landkreis Rosenheim;477441000000000,0;1,21621e+16;;very low;B;5831,0;0,3529;147533,12;418094,66;71,7
776;Rott am Inn;Landkreis Rosenheim;4,79641e+16;1,21337e+16;;very low;C;5831,0;0,406;257734,9;634737,74;108,86
777;Rosenheim;;4782580000000000,0;1208440000000000,0;;very low;E;6179,0;0,4856;180014,67;370740,0;60,0
778;Rosenheim;;478355000000000,0;1,21303e+16;;very low;G;6179,0;0,5848;216813,88;370740,0;60,0
779;Rosenheim;;4781640000000000,0;1209500000000000,0;;very low;H;6179,0;0,5092;244469,38;480059,69;77,69
780;Rosenheim;;4782110000000000,0;1,21081e+16;;very low;F;6179,0;0,3662;135761,79;370740,0;60,0
781;Rosenheim;;4782920000000000,0;1,20929e+16;;very low;H;6179,0;0,5735;279387,41;487200,99;78,85
782;Rosenheim;;4780990000000000,0;12022500000000,0;;very low;E;6179,0;0,3366;153972,23;457435,99;74,03
783;Rosenheim;;4782580000000000,0;1,21033e+16;;very low;A;6179,0;0,1543;97722,32;633147,57;102,47
784;Tuntenhausen;Landkreis Rosenheim;4795380000000000,0;1,20192e+16;;very low;A;5831,0;0,4445;155511,08;349860,0;60,0
785;Tuntenhausen;Landkreis Rosenheim;4794890000000000,0;1,19891e+16;;very low;G;5831,0;0,6719;235083,08;349860,0;60,0
786;Bernau am Chiemsee;Landkreis Rosenheim;4779730000000000,0;1,23781e+16;;very low;C;5831,0;0,4689;164037,2;349860,0;60,0
787;Bernau am Chiemsee;Landkreis Rosenheim;4,78178e+16;1,2379e+16;;very low;H;5831,0;0,5647;214936,43;380628,2;65,28
788;Babensham;Landkreis Rosenheim;4807610000000000,0;1,22229e+16;;very low;F;5831,0;0,534;186831,06;349860,0;60,0
789;Kolbermoor;Landkreis Rosenheim;4784290000000000,0;1204120000000000,0;;very low;E;5831,0;0,4113;201653,57;490240,26;84,07
790;Kolbermoor;Landkreis Rosenheim;4786210000000000,0;1,20742e+16;;very low;B;5831,0;0,4844;169485,04;349860,0;60,0
791;Kolbermoor;Landkreis Rosenheim;4786540000000000,0;1,20682e+16;;very low;A+;5831,0;0,5235;183166,78;349860,0;60,0
792;Kolbermoor;Landkreis Rosenheim;478357000000000,0;1,20381e+16;;very low;C;5831,0;0,4423;181759,89;410910,24;70,47
793;Kolbermoor;Landkreis Rosenheim;4784820000000000,0;1204360000000000,0;;very low;F;5831,0;0,6722;235172,79;349860,0;60,0
794;Neubeuern;Landkreis Rosenheim;4776490000000000,0;1214340000000000,0;;very low;G;5831,0;0,3263;114175,1;349860,0;60,0
795;Bad Feilnbach;Landkreis Rosenheim;4775340000000000,0;1,20101e+16;;very low;H;5831,0;0,5299;185395,75;349860,0;60,0
796;Bad Feilnbach;Landkreis Rosenheim;4775250000000000,0;1,2024e+16;;very low;G;5831,0;0,4732;165566,54;349860,0;60,0
797;Eggstätt;Landkreis Rosenheim;4794340000000000,0;123564000000000,0;;very low;E;5831,0;0,6565;229687,15;349860,0;60,0
798;Griesstätt;Landkreis Rosenheim;4,79798e+16;1,217e+16;;very low;F;5831,0;0,1927;109205,66;566674,88;97,18
799;Kiefersfelden;Landkreis Rosenheim;4761780000000000,0;1207300000000000,0;;very low;H;5831,0;0,5427;189874,16;349860,0;60,0
800;Kiefersfelden;Landkreis Rosenheim;4762370000000000,0;1,20913e+16;;very low;D;5831,0;0,4907;229223,76;467181,54;80,12
801;Pfaffing;Landkreis Rosenheim;4804950000000000,0;1213180000000000,0;;very low;A;5831,0;0,4711;164810,43;349860,0;60,0
802;Mitterskirchen;Landkreis Rottal-Inn;483560000000000,0;1274520000000000,0;;very low;F;2273,0;0,4994;68108,78;136380,0;60,0
803;Julbach;Landkreis Rottal-Inn;4824840000000000,0;1,29095e+16;;very low;D;2273,0;0,5172;151595,5;293089,02;128,94
804;Massing;Landkreis Rottal-Inn;483953000000000,0;1264670000000000,0;;very low;D;2273,0;0,4172;155365,91;372443,09;163,86
805;Kirchdorf am Inn;Landkreis Rottal-Inn;4826920000000000,0;1296350000000000,0;;very low;G;2273,0;0,1019;166439,26;1632566,8;718,24
806;Pfarrkirchen;Landkreis Rottal-Inn;4846280000000000,0;1298500000000000,0;;very low;E;2273,0;0,4041;55113,36;136380,0;60,0
807;Pfarrkirchen;Landkreis Rottal-Inn;4842430000000000,0;1,29326e+16;;very low;D;2273,0;0,483;169688,8;351323,26;154,56
808;Pfarrkirchen;Landkreis Rottal-Inn;4,84616e+16;1,29271e+16;;very low;C;2273,0;0,5828;188918,86;324177,42;142,62
809;Hebertsfelden;Landkreis Rottal-Inn;4841310000000000,0;1,28129e+16;;very low;A+;2273,0;0,1576;236669,74;1501736,6;660,68
810;Wittibreut;Landkreis Rottal-Inn;4833490000000000,0;1,29784e+16;;very low;F;2273,0;0,1278;133348,37;1043497,63;459,08
811;Gangkofen;Landkreis Rottal-Inn;4843090000000000,0;1251320000000000,0;;very low;H;2273,0;0,3431;106396,37;310125,71;136,44
812;Gangkofen;Landkreis Rottal-Inn;484788000000000,0;124931000000000,0;;very low;H;2273,0;0,4329;338512,12;781917,46;344,0
813;Marklkofen;Landkreis Dingolfing-Landau;4858020000000000,0;1,25289e+16;;very low;G;2717,0;0,0903;217069,48;2404790,77;885,09
814;Loiching;Landkreis Dingolfing-Landau;485711000000000,0;1,24315e+16;;very low;G;2717,0;0,5436;258008,38;474599,9;174,68
815;Mengkofen;Landkreis Dingolfing-Landau;4873980000000000,0;1,24148e+16;;very low;E;2717,0;0,3922;169012,21;430976,45;158,62
816;Mengkofen;Landkreis Dingolfing-Landau;4,87494e+16;1246240000000000,0;;very low;C;2717,0;0,5063;82544,05;163020,0;60,0
817;Moosthenning;Landkreis Dingolfing-Landau;4865410000000000,0;1,244e+16;;very low;H;2717,0;0,4504;163282,45;362509,14;133,42
818;Niederviehbach;Landkreis Dingolfing-Landau;4857980000000000,0;1,23628e+16;;very low;F;2717,0;0,3651;60265,59;165045,2;60,75
819;Frontenhausen;Landkreis Dingolfing-Landau;4851930000000000,0;1,252e+16;;very low;G;2717,0;0,3589;144165,22;401733,44;147,86
820;Gottfrieding;Landkreis Dingolfing-Landau;4862200000000000,0;1252560000000000,0;;very low;D;2717,0;0,3472;87020,79;250608,03;92,24
821;Dingolfing;Landkreis Dingolfing-Landau;486485000000000,0;1,25165e+16;;very low;D;2717,0;0,4209;74655,41;177354,56;65,28
822;Dingolfing;Landkreis Dingolfing-Landau;4865920000000000,0;1,25009e+16;;very low;A+;2717,0;0,4807;78360,49;163020,0;60,0
823;Dingolfing;Landkreis Dingolfing-Landau;4,86091e+16;1,24604e+16;;very low;B;2717,0;0,5519;97844,34;177277,64;65,25
824;Dingolfing;Landkreis Dingolfing-Landau;4861220000000000,0;1245900000000000,0;;very low;E;2717,0;0,4046;102085,37;252293,6;92,86
825;Dingolfing;Landkreis Dingolfing-Landau;4861970000000000,0;1,24866e+16;;very low;D;2717,0;0,462;129937,13;281241,14;103,51
826;Ampfing;Landkreis Mühldorf am Inn;4826840000000000,0;1,24345e+16;;very low;F;4119,0;0,4667;115329,3;247140,0;60,0
827;Ampfing;Landkreis Mühldorf am Inn;4829220000000000,0;1,24267e+16;;very low;H;4119,0;0,4314;300532,77;696610,02;169,12
828;Zangberg;Landkreis Mühldorf am Inn;482157000000000,0;1243940000000000,0;;very low;B;4119,0;0,4529;111930,51;247140,0;60,0
829;Zangberg;Landkreis Mühldorf am Inn;4828170000000000,0;1,23737e+16;;very low;C;4119,0;0,3014;164339,55;545239,51;132,37
830;Kraiburg;Landkreis Mühldorf am Inn;4815630000000000,0;1,24687e+16;;very low;H;4119,0;0,2682;100659,39;375252,59;91,1
831;Obertaufkirchen;Landkreis Mühldorf am Inn;4,82368e+16;1,2288e+16;;very low;G;4119,0;0,2183;83250,51;381402,54;92,6
832;Obertaufkirchen;Landkreis Mühldorf am Inn;482573000000000,0;1,22336e+16;;very low;B;4119,0;0,5001;138011,77;275952,68;67,0
833;Schwindegg;Landkreis Mühldorf am Inn;4827740000000000,0;1,22499e+16;;very low;A;4119,0;0,6376;157569,16;247140,0;60,0
834;Schwindegg;Landkreis Mühldorf am Inn;4822900000000000,0;1,22619e+16;;very low;A+;4119,0;0,4197;159203,12;379296,11;92,08
835;Waldkraiburg;Landkreis Mühldorf am Inn;4820580000000000,0;1,24179e+16;;very low;E;4119,0;0,4291;144358,9;336394,54;81,67
836;Waldkraiburg;Landkreis Mühldorf am Inn;4,81981e+16;1,24143e+16;;very low;D;4119,0;0,5129;126761,77;247140,0;60,0
837;Waldkraiburg;Landkreis Mühldorf am Inn;4820750000000000,0;123984000000000,0;;very low;C;4119,0;0,5349;132190,64;247140,0;60,0
838;Waldkraiburg;Landkreis Mühldorf am Inn;4818720000000000,0;1,23798e+16;;very low;F;4119,0;0,6411;166585,27;259836,89;63,08
839;Waldkraiburg;Landkreis Mühldorf am Inn;4820610000000000,0;1,24092e+16;;very low;A;4119,0;0,4267;105455,13;247140,0;60,0
840;Waldkraiburg;Landkreis Mühldorf am Inn;4818590000000000,0;1,23953e+16;;very low;G;4119,0;0,4163;102880,73;247140,0;60,0
841;Erharting;Landkreis Mühldorf am Inn;4824830000000000,0;1257330000000000,0;;very low;C;4119,0;0,2704;127606,89;471936,04;114,58
842;Erharting;Landkreis Mühldorf am Inn;4827170000000000,0;1,26034e+16;;very low;F;4119,0;0,105;31136,95;296534,39;71,99
843;Erharting;Landkreis Mühldorf am Inn;4826040000000000,0;1,25802e+16;;very low;A+;4119,0;0,4597;113613,64;247140,0;60,0
844;Töging am Inn;Landkreis Altötting;4829390000000000,0;1,25856e+16;;very low;G;3540,0;0,3027;84488,88;279087,29;78,84
845;Töging am Inn;Landkreis Altötting;4824380000000000,0;1,25679e+16;;very low;C;3540,0;0,4476;120254,08;268656,1;75,89
846;Töging am Inn;Landkreis Altötting;4,82631e+16;1,26036e+16;;very low;G;3540,0;0,5608;119120,25;212400,0;60,0
847;Engelsberg;Landkreis Traunstein;4812190000000000,0;1,24775e+16;;very low;H;4078,000000000001;0,48;117445,01;244680,0;60,0
848;Buchbach;Landkreis Mühldorf am Inn;4831700000000000,0;1,23249e+16;;very low;F;4119,0;0,5517;136351,04;247140,0;60,0
849;Dorfen;Landkreis Erding;4828110000000000,0;1,21688e+16;;very low;D;5049,0;0,6103;184885,71;302940,0;60,0
850;Dorfen;Landkreis Erding;4829380000000000,0;1,22389e+16;;very low;D;5049,0;0,6901;209067,94;302940,0;60,0
851;Dorfen;Landkreis Erding;4829510000000000,0;1,21355e+16;;very low;A;5049,0;0,4142;125488,2;302940,0;60,0
852;Dorfen;Landkreis Erding;4831080000000000,0;1,22405e+16;;very low;A;5049,0;0,6057;183498,64;302940,0;60,0
853;Sankt Wolfgang;Landkreis Erding;4821010000000000,0;1222560000000000,0;;very low;H;5049,0;0,2912;108289,94;371839,02;73,65
854;Isen;Landkreis Erding;4820460000000000,0;1,20452e+16;;very low;H;5049,0;0,5382;163037,0;302940,0;60,0
855;Lengdorf;Landkreis Erding;4827860000000000,0;1,20593e+16;;very low;D;5049,0;0,6098;184730,81;302940,0;60,0
856;Inning am Holz;Landkreis Erding;4833900000000000,0;1,21376e+16;;very low;E;5049,0;0,4242;128495,37;302940,0;60,0
857;Inning am Holz;Landkreis Erding;4,83195e+16;1206260000000000,0;;very low;C;5049,0;0,4281;129678,0;302940,0;60,0
858;Inning am Holz;Landkreis Erding;4831220000000000,0;1,21228e+16;;very low;B;5049,0;0,4114;239702,37;582618,16;115,39
859;Taufkirchen;Landkreis Erding;4838020000000000,0;1,21791e+16;;very low;E;5049,0;0,6195;187676,76;302940,0;60,0
860;Taufkirchen;Landkreis Erding;4834390000000000,0;1,21729e+16;;very low;G;5049,0;0,6448;195338,41;302940,0;60,0
861;Taufkirchen;Landkreis Erding;4834310000000000,0;1,21283e+16;;very low;G;5049,0;0,1166;76406,93;655253,54;129,78
862;Pfeffenhausen;Landkreis Landshut;4,86524e+16;1,18897e+16;;very low;B;6042,0;0,6903;250235,06;362520,0;60,0
863;Kumhausen;Landkreis Landshut;4850670000000000,0;1219280000000000,0;;very low;D;6042,0;0,2686;197819,42;736460,28;121,89
864;Kumhausen;Landkreis Landshut;4852020000000000,0;1,22003e+16;;very low;C;6042,0;0,6167;223559,81;362520,0;60,0
865;Kumhausen;Landkreis Landshut;4851490000000000,0;1222740000000000,0;;very low;E;6042,0;0,1459;291413,33;1997014,96;330,52
866;Kumhausen;Landkreis Landshut;4,85038e+16;1,22067e+16;;very low;F;6042,0;0,3389;141394,69;417194,23;69,05
867;Kumhausen;Landkreis Landshut;4856950000000000,0;1,22023e+16;;very low;C;6042,0;0,502;182000,24;362520,0;60,0
868;Kumhausen;Landkreis Landshut;4858120000000000,0;1,22353e+16;;very low;G;6042,0;0,1145;197688,74;1727167,07;285,86
869;Landshut;;4852510000000000,0;1218740000000000,0;;very low;B;6042,0;0,6145;222762,59;362520,0;60,0
870;Landshut;;4856540000000000,0;1,22239e+16;;very low;F;6042,0;0,5051;183119,27;362520,0;60,0
871;Landshut;;4857270000000000,0;1221590000000000,0;;very low;E;6042,0;0,6619;239963,1;362520,0;60,0
872;Landshut;;4847930000000000,0;1,21635e+16;;very low;F;6042,0;0,2626;95207,5;362520,0;60,0
873;Landshut;;4850130000000000,0;1,21572e+16;;very low;H;6042,0;0,6549;237419,71;362520,0;60,0
874;Landshut;;4849630000000000,0;1,21636e+16;;very low;H;6042,0;0,2337;169393,88;724765,95;119,95
875;Hohenthann;Landkreis Landshut;4863490000000000,0;1,21152e+16;;very low;E;6042,0;0,5565;298093,34;535627,95;88,65
876;Mallersdorf-Pfaffenberg;Landkreis Straubing-Bogen;4876320000000000,0;1226210000000000,0;;very low;G;2923,0;0,6228;109226,47;175380,0;60,0
877;Mallersdorf-Pfaffenberg;Landkreis Straubing-Bogen;4880200000000000,0;1,22046e+16;;very low;C;2923,0;0,4221;249333,22;590749,58;202,1
878;Bruckberg;Landkreis Landshut;4852270000000000,0;1,2021e+16;;very low;D;6042,0;0,4343;202571,28;466427,69;77,2
879;Vilsbiburg;Landkreis Landshut;4844010000000000,0;1,23297e+16;;very low;G;6042,0;0,426;154431,97;362520,0;60,0
880;Vilsbiburg;Landkreis Landshut;4,84873e+16;1,23456e+16;;very low;E;6042,0;0,4564;165439,94;362520,0;60,0
881;Vilsbiburg;Landkreis Landshut;4842570000000000,0;1,23803e+16;;very low;F;6042,0;0,1036;77350,8;746392,27;123,53
882;Hausham;Landkreis Miesbach;4775430000000000,0;1,18128e+16;;very low;C;9258,0;0,4091;227221,43;555480,0;60,0
883;Hausham;Landkreis Miesbach;4,77506e+16;1181410000000000,0;;very low;B;9258,0;0,3683;204589,59;555480,0;60,0
884;Tegernsee;Landkreis Miesbach;4771670000000000,0;1,17938e+16;;very low;D;9258,0;0,1201;96357,07;802215,42;86,65
885;Miesbach;Landkreis Miesbach;4,77847e+16;1,18323e+16;;very low;B;9258,0;0,5339;296586,63;555480,0;60,0
886;Miesbach;Landkreis Miesbach;4777770000000000,0;1,18463e+16;;very low;C;9258,0;0,4699;261029,83;555480,0;60,0
887;Miesbach;Landkreis Miesbach;4779340000000000,0;1,18395e+16;;very low;C;9258,0;0,4375;242998,72;555480,0;60,0
888;Irschenberg;Landkreis Miesbach;47819400000000,0;1188270000000000,0;;very low;C;9258,0;0,2595;144147,96;555480,0;60,0
889;Holzkirchen;Landkreis Miesbach;4789140000000000,0;1,16916e+16;;very low;E;9258,0;0,2229;144873,52;649814,73;70,19
890;Holzkirchen;Landkreis Miesbach;47872100000000,0;1166420000000000,0;;very low;H;9258,0;0,4375;243019,04;555480,0;60,0
891;Holzkirchen;Landkreis Miesbach;4,79023e+16;1,17058e+16;;very low;G;9258,0;0,3523;195715,14;555480,0;60,0
892;Holzkirchen;Landkreis Miesbach;4787490000000000,0;1,17047e+16;;very low;A+;9258,0;0,1883;104586,57;555480,0;60,0
893;Warngau;Landkreis Miesbach;4782010000000000,0;1,17031e+16;;very low;D;9258,0;0,4055;225257,51;555480,0;60,0
894;Gmund;Landkreis Miesbach;4774390000000000,0;1,17498e+16;;very low;H;9258,0;0,6651;369456,64;555480,0;60,0
895;Gmund;Landkreis Miesbach;4775930000000000,0;1,17136e+16;;very low;G;9258,0;0,714;396630,44;555480,0;60,0
896;Fischbachau;Landkreis Miesbach;4771220000000000,0;1,19269e+16;;very low;C;9258,0;0,729;404940,49;555480,0;60,0
897;Fischbachau;Landkreis Miesbach;477142000000000,0;1197460000000000,0;;very low;H;9258,0;0,4537;252010,3;555480,0;60,0
898;Waakirchen;Landkreis Miesbach;4778860000000000,0;1,167e+16;;very low;F;9258,0;0,3051;169454,89;555480,0;60,0
899;Kreuth;Landkreis Miesbach;4,76614e+16;1,17857e+16;;very low;C;9258,0;0,5106;283641,12;555480,0;60,0
