ort,landkreis,latitude,longitude,geometry,GEB_HQ,flood_risk
Faulbach,Landkreis Miltenberg,2962348.335510561,4281566.525068832,POINT (4281566.525068832 2962348.335510561),,very low
Kreuzwertheim,Landkreis Main-Spessart,2961948.545663483,4288631.493793745,POINT (4288631.493793745 2961948.545663483),,very low
Schwarzach am Main,Landkreis Kitzingen,2966425.0625068615,4338229.02143707,POINT (4338229.02143707 2966425.0625068615),,very low
Gollhofen,Landkreis Neustadt an der Aisch-Bad Windsheim,2944983.1255676025,4339918.476757764,POINT (4339918.476757764 2944983.1255676025),,very low
Hemmersheim,Landkreis Neustadt an der Aisch-Bad Windsheim,2941294.8255224708,4332364.802898593,POINT (4332364.802898593 2941294.8255224708),,very low
Ippesheim,Landkreis Neustadt an der Aisch-Bad Windsheim,2941915.758396927,4330856.398463821,POINT (4330856.398463821 2941915.758396927),,very low
Oberickelsheim,Landkreis Neustadt an der Aisch-Bad Windsheim,2942417.4682021756,4334714.454189256,POINT (4334714.454189256 2942417.4682021756),,very low
Wiesentheid,Landkreis Kitzingen,2962903.6708995933,4349620.252659236,POINT (4349620.252659236 2962903.6708995933),,very low
Marktbreit,Landkreis Kitzingen,2943935.829921755,4332912.172454528,POINT (4332912.172454528 2943935.829921755),,very low
Martinsheim,Landkreis Kitzingen,2945924.1664094687,4329974.609912745,POINT (4329974.609912745 2945924.1664094687),,very low
Segnitz,Landkreis Kitzingen,2944351.7533277506,4335449.889565827,POINT (4335449.889565827 2944351.7533277506),,very low
Volkach,Landkreis Kitzingen,2973476.1573324534,4336210.121058571,POINT (4336210.121058571 2973476.1573324534),,very low
Volkach,Landkreis Kitzingen,2975184.844046982,4336368.244162812,POINT (4336368.244162812 2975184.844046982),,very low
Prichsenstadt,Landkreis Kitzingen,2970726.641071541,4345821.549671508,POINT (4345821.549671508 2970726.641071541),,very low
Iphofen,Landkreis Kitzingen,2946684.0161055564,4344131.268092283,POINT (4344131.268092283 2946684.0161055564),,very low
Dettelbach,Landkreis Kitzingen,2968450.351810416,4326564.245672374,POINT (4326564.245672374 2968450.351810416),,very low
Dettelbach,Landkreis Kitzingen,2964425.5238522934,4330471.895663202,POINT (4330471.895663202 2964425.5238522934),,very low
Simmershofen,Landkreis Neustadt an der Aisch-Bad Windsheim,2932529.6095754066,4332914.102007969,POINT (4332914.102007969 2932529.6095754066),,very low
Simmershofen,Landkreis Neustadt an der Aisch-Bad Windsheim,2935273.479247843,4333194.076612013,POINT (4333194.076612013 2935273.479247843),,very low
Uffenheim,Landkreis Neustadt an der Aisch-Bad Windsheim,2943298.411665172,4341924.43404198,POINT (4341924.43404198 2943298.411665172),,very low
Uffenheim,Landkreis Neustadt an der Aisch-Bad Windsheim,2944315.1245959736,4342849.128358543,POINT (4342849.128358543 2944315.1245959736),,very low
Weigenheim,Landkreis Neustadt an der Aisch-Bad Windsheim,2939191.67268391,4338657.8733486645,POINT (4338657.8733486645 2939191.67268391),,very low
Weigenheim,Landkreis Neustadt an der Aisch-Bad Windsheim,2934249.2902188525,4332331.484695639,POINT (4332331.484695639 2934249.2902188525),,very low
Biebelried,Landkreis Kitzingen,2956352.277726357,4326045.348978128,POINT (4326045.348978128 2956352.277726357),,very low
Biebelried,Landkreis Kitzingen,2960050.9512237124,4333774.9078048635,POINT (4333774.9078048635 2960050.9512237124),,very low
Biebelried,Landkreis Kitzingen,2957271.398523314,4334904.430861146,POINT (4334904.430861146 2957271.398523314),,very low
Biebelried,Landkreis Kitzingen,2959954.478962343,4328765.455942861,POINT (4328765.455942861 2959954.478962343),,very low
Biebelried,Landkreis Kitzingen,2956997.0013570464,4326316.887807516,POINT (4326316.887807516 2956997.0013570464),,very low
Biebelried,Landkreis Kitzingen,2956463.8224808523,4331819.510580005,POINT (4331819.510580005 2956463.8224808523),,very low
Kitzingen,Landkreis Kitzingen,2959486.677212509,4332551.744029622,POINT (4332551.744029622 2959486.677212509),,very low
Kitzingen,Landkreis Kitzingen,2961226.4054515124,4326029.880931526,POINT (4326029.880931526 2961226.4054515124),,very low
Kitzingen,Landkreis Kitzingen,2956652.3400113527,4330594.034830433,POINT (4330594.034830433 2956652.3400113527),,very low
Kitzingen,Landkreis Kitzingen,2960943.6996874707,4334940.823163289,POINT (4334940.823163289 2960943.6996874707),,very low
Kitzingen,Landkreis Kitzingen,2957169.9655727847,4328896.825666992,POINT (4328896.825666992 2957169.9655727847),,very low
Kitzingen,Landkreis Kitzingen,2956436.905789658,4332444.258711781,POINT (4332444.258711781 2956436.905789658),,very low
Abtswind,Landkreis Kitzingen,2957910.2636821796,4345438.800728087,POINT (4345438.800728087 2957910.2636821796),,very low
Castell,Landkreis Kitzingen,2961580.583579629,4340611.2560127,POINT (4340611.2560127 2961580.583579629),,very low
Kleinlangheim,Landkreis Kitzingen,2958468.8714212994,4348835.216511113,POINT (4348835.216511113 2958468.8714212994),,very low
Rüdenhausen,Landkreis Kitzingen,2961059.251122749,4346373.907973704,POINT (4346373.907973704 2961059.251122749),,very low
Wiesenbronn,Landkreis Kitzingen,2963514.521580845,4341557.584459747,POINT (4341557.584459747 2963514.521580845),,very low
Marktsteft,Landkreis Kitzingen,2947039.8016568683,4337534.965769148,POINT (4337534.965769148 2947039.8016568683),,very low
Obernbreit,Landkreis Kitzingen,2946914.08216549,4338259.376900748,POINT (4338259.376900748 2946914.08216549),,very low
Seinsheim,Landkreis Kitzingen,2949366.7730878857,4332133.34767223,POINT (4332133.34767223 2949366.7730878857),,very low
Grettstadt,Landkreis Schweinfurt,2988314.4480380495,4345531.637810436,POINT (4345531.637810436 2988314.4480380495),,very low
Frankenwinheim,Landkreis Schweinfurt,2977998.2348500183,4347252.744448999,POINT (4347252.744448999 2977998.2348500183),,very low
Frankenwinheim,Landkreis Schweinfurt,2977413.0110153356,4345148.235450412,POINT (4345148.235450412 2977413.0110153356),,very low
Gerolzhofen,Landkreis Schweinfurt,2978572.271270097,4348261.063376256,POINT (4348261.063376256 2978572.271270097),,very low
Gerolzhofen,Landkreis Schweinfurt,2975137.684561955,4342642.837798971,POINT (4342642.837798971 2975137.684561955),,very low
Gochsheim,Landkreis Schweinfurt,2990574.715953865,4339073.23893771,POINT (4339073.23893771 2990574.715953865),,very low
Gochsheim,Landkreis Schweinfurt,2989419.016320862,4342784.092101914,POINT (4342784.092101914 2989419.016320862),,very low
Sulzheim,Landkreis Schweinfurt,2980519.7749446905,4345065.988964571,POINT (4345065.988964571 2980519.7749446905),,very low
Donnersdorf,Landkreis Schweinfurt,2982549.854011302,4351242.903268851,POINT (4351242.903268851 2982549.854011302),,very low
Schweinfurt,,2993832.7753568413,4340221.284987126,POINT (4340221.284987126 2993832.7753568413),,very low
Schweinfurt,,2994762.8054316016,4338153.90305465,POINT (4338153.90305465 2994762.8054316016),,very low
Schweinfurt,,2993659.575789861,4339150.129264006,POINT (4339150.129264006 2993659.575789861),,very low
Schweinfurt,,2994985.405914269,4338802.407707007,POINT (4338802.407707007 2994985.405914269),,very low
Schweinfurt,,2993622.793334539,4338660.100361995,POINT (4338660.100361995 2993622.793334539),,very low
Schweinfurt,,2994776.44494851,4340103.463638949,POINT (4340103.463638949 2994776.44494851),,very low
Schonungen,Landkreis Schweinfurt,3000848.245978783,4349863.280166966,POINT (4349863.280166966 3000848.245978783),,very low
Schonungen,Landkreis Schweinfurt,2994007.2350764447,4345761.743720685,POINT (4345761.743720685 2994007.2350764447),,very low
Aura a.d.Saale,Landkreis Bad Kissingen,3005993.468731071,4321996.751754426,POINT (4321996.751754426 3005993.468731071),,very low
Euerdorf,Landkreis Bad Kissingen,3004370.378439904,4326725.173787848,POINT (4326725.173787848 3004370.378439904),,very low
Sulzthal,Landkreis Bad Kissingen,2998721.148577002,4325584.049759152,POINT (4325584.049759152 2998721.148577002),,very low
Oerlenbach,Landkreis Bad Kissingen,3006091.8101690942,4331501.969168853,POINT (4331501.969168853 3006091.8101690942),,very low
Burkardroth,Landkreis Bad Kissingen,3020473.6627251334,4325509.612489973,POINT (4325509.612489973 3020473.6627251334),,very low
Burkardroth,Landkreis Bad Kissingen,3021574.0169032724,4315472.805115802,POINT (4315472.805115802 3021574.0169032724),,very low
Zeitlofs,Landkreis Bad Kissingen,3017479.3666807315,4302505.380281959,POINT (4302505.380281959 3017479.3666807315),,very low
Nüdlingen,Landkreis Bad Kissingen,3012258.923209395,4330529.010113604,POINT (4330529.010113604 3012258.923209395),,very low
Hammelburg,Landkreis Bad Kissingen,3002493.365018097,4309487.386504157,POINT (4309487.386504157 3002493.365018097),,very low
Hammelburg,Landkreis Bad Kissingen,3005620.8439869485,4311952.191934676,POINT (4311952.191934676 3005620.8439869485),,very low
Hammelburg,Landkreis Bad Kissingen,2993020.107942209,4312626.446396216,POINT (4312626.446396216 2993020.107942209),,very low
Oberleichtersbach,Landkreis Bad Kissingen,3016897.9733649665,4307401.499468186,POINT (4307401.499468186 3016897.9733649665),,very low
Ochsenfurt,Landkreis Würzburg,2950660.4329098742,4321488.420490381,POINT (4321488.420490381 2950660.4329098742),,very low
Ochsenfurt,Landkreis Würzburg,2950198.246403748,4326642.652775809,POINT (4326642.652775809 2950198.246403748),,very low
Ochsenfurt,Landkreis Würzburg,2947964.4757268787,4324010.597091927,POINT (4324010.597091927 2947964.4757268787),,very low
Thüngersheim,Landkreis Würzburg,2971888.778095936,4310636.224751863,POINT (4310636.224751863 2971888.778095936),,very low
Hausen,Landkreis Rhön-Grabfeld,3043906.03818779,4337334.143572387,POINT (4337334.143572387 3043906.03818779),,very low
Nordheim v.d.Rhön,Landkreis Rhön-Grabfeld,3043794.959210774,4335935.181053121,POINT (4335935.181053121 3043794.959210774),,very low
Sondheim v.d.Rhön,Landkreis Rhön-Grabfeld,3043141.66336098,4340268.258579599,POINT (4340268.258579599 3043141.66336098),,very low
Willmars,Landkreis Rhön-Grabfeld,3042872.2028448973,4325114.234090338,POINT (4325114.234090338 3042872.2028448973),,very low
Bad Neustadt an der Saale,Landkreis Rhön-Grabfeld,3022853.7060788115,4336829.429841759,POINT (4336829.429841759 3022853.7060788115),,very low
Bad Neustadt an der Saale,Landkreis Rhön-Grabfeld,3023808.852983579,4334044.783117581,POINT (4334044.783117581 3023808.852983579),,very low
Bad Neustadt an der Saale,Landkreis Rhön-Grabfeld,3025655.0979982605,4335411.4592819,POINT (4335411.4592819 3025655.0979982605),,very low
Bad Neustadt an der Saale,Landkreis Rhön-Grabfeld,3025510.8774837237,4335785.918975002,POINT (4335785.918975002 3025510.8774837237),,very low
Bad Neustadt an der Saale,Landkreis Rhön-Grabfeld,3020233.5901137637,4335444.6961685065,POINT (4335444.6961685065 3020233.5901137637),,very low
Salz,Landkreis Rhön-Grabfeld,3022588.8874370563,4337510.377673127,POINT (4337510.377673127 3022588.8874370563),,very low
Salz,Landkreis Rhön-Grabfeld,3020301.1621286,4338124.597119201,POINT (4338124.597119201 3020301.1621286),,very low
Salz,Landkreis Rhön-Grabfeld,3026174.36138216,4333937.663768062,POINT (4333937.663768062 3026174.36138216),,very low
Salz,Landkreis Rhön-Grabfeld,3021726.7401589924,4335640.453088532,POINT (4335640.453088532 3021726.7401589924),,very low
Salz,Landkreis Rhön-Grabfeld,3021531.8646437447,4336417.199925095,POINT (4336417.199925095 3021531.8646437447),,very low
Bastheim,Landkreis Rhön-Grabfeld,3032460.767958522,4331795.719806939,POINT (4331795.719806939 3032460.767958522),,very low
Bischofsheim i.d.Rhön,Landkreis Rhön-Grabfeld,3033016.624054113,4319606.056993157,POINT (4319606.056993157 3033016.624054113),,very low
Mellrichstadt,Landkreis Rhön-Grabfeld,3038154.7767473822,4342626.563312802,POINT (4342626.563312802 3038154.7767473822),,very low
Mellrichstadt,Landkreis Rhön-Grabfeld,3041324.949444497,4343360.478239768,POINT (4343360.478239768 3041324.949444497),,very low
Heustreu,Landkreis Rhön-Grabfeld,3023442.0140792946,4326798.721341196,POINT (4326798.721341196 3023442.0140792946),,very low
Heustreu,Landkreis Rhön-Grabfeld,3025421.532565577,4326253.119466522,POINT (4326253.119466522 3025421.532565577),,very low
Heustreu,Landkreis Rhön-Grabfeld,3024726.6954659424,4347265.678801759,POINT (4347265.678801759 3024726.6954659424),,very low
Heustreu,Landkreis Rhön-Grabfeld,3021360.7774776774,4343264.168968558,POINT (4343264.168968558 3021360.7774776774),,very low
Hohenroth,Landkreis Rhön-Grabfeld,3019580.952535541,4341490.176047224,POINT (4341490.176047224 3019580.952535541),,very low
Hohenroth,Landkreis Rhön-Grabfeld,3027148.2569077825,4338922.634722102,POINT (4338922.634722102 3027148.2569077825),,very low
Hohenroth,Landkreis Rhön-Grabfeld,3022268.3848018995,4333175.473527014,POINT (4333175.473527014 3022268.3848018995),,very low
Hohenroth,Landkreis Rhön-Grabfeld,3024247.833451498,4343601.953522417,POINT (4343601.953522417 3024247.833451498),,very low
Hollstadt,Landkreis Rhön-Grabfeld,3025178.2621345394,4330553.314029821,POINT (4330553.314029821 3025178.2621345394),,very low
Hollstadt,Landkreis Rhön-Grabfeld,3025475.0024358416,4326004.990139358,POINT (4326004.990139358 3025475.0024358416),,very low
Hollstadt,Landkreis Rhön-Grabfeld,3020251.100346501,4340535.985637384,POINT (4340535.985637384 3020251.100346501),,very low
Hollstadt,Landkreis Rhön-Grabfeld,3026567.5861729993,4345557.242763461,POINT (4345557.242763461 3026567.5861729993),,very low
Niederlauer,Landkreis Rhön-Grabfeld,3021879.8268198585,4343450.263563738,POINT (4343450.263563738 3021879.8268198585),,very low
Niederlauer,Landkreis Rhön-Grabfeld,3019029.303339558,4338632.732453605,POINT (4338632.732453605 3019029.303339558),,very low
Niederlauer,Landkreis Rhön-Grabfeld,3021652.3027062775,4331871.235958644,POINT (4331871.235958644 3021652.3027062775),,very low
Niederlauer,Landkreis Rhön-Grabfeld,3026929.8737905556,4337406.586117076,POINT (4337406.586117076 3026929.8737905556),,very low
Rödelmaier,Landkreis Rhön-Grabfeld,3028737.207973438,4340826.721485955,POINT (4340826.721485955 3028737.207973438),,very low
Rödelmaier,Landkreis Rhön-Grabfeld,3020290.0548280226,4341111.7809524285,POINT (4341111.7809524285 3020290.0548280226),,very low
Rödelmaier,Landkreis Rhön-Grabfeld,3023318.1996719963,4331324.412910376,POINT (4331324.412910376 3023318.1996719963),,very low
Rödelmaier,Landkreis Rhön-Grabfeld,3017539.747196972,4337110.920500916,POINT (4337110.920500916 3017539.747196972),,very low
Strahlungen,Landkreis Rhön-Grabfeld,3028048.817207114,4340906.942399851,POINT (4340906.942399851 3028048.817207114),,very low
Strahlungen,Landkreis Rhön-Grabfeld,3026294.0164943957,4342014.6027048,POINT (4342014.6027048 3026294.0164943957),,very low
Strahlungen,Landkreis Rhön-Grabfeld,3028668.2334489054,4341972.785014427,POINT (4341972.785014427 3028668.2334489054),,very low
Strahlungen,Landkreis Rhön-Grabfeld,3023031.3696038574,4330403.8145725075,POINT (4330403.8145725075 3023031.3696038574),,very low
Unsleben,Landkreis Rhön-Grabfeld,3023249.9252049937,4345570.105417205,POINT (4345570.105417205 3023249.9252049937),,very low
Unsleben,Landkreis Rhön-Grabfeld,3023845.4449551348,4325780.023935498,POINT (4325780.023935498 3023845.4449551348),,very low
Unsleben,Landkreis Rhön-Grabfeld,3021452.5700406134,4327639.765541609,POINT (4327639.765541609 3021452.5700406134),,very low
Unsleben,Landkreis Rhön-Grabfeld,3024877.9719886337,4332608.200499487,POINT (4332608.200499487 3024877.9719886337),,very low
Wollbach,Landkreis Rhön-Grabfeld,3025285.8213562747,4327647.29463562,POINT (4327647.29463562 3025285.8213562747),,very low
Wollbach,Landkreis Rhön-Grabfeld,3020715.6534521775,4341260.25045847,POINT (4341260.25045847 3020715.6534521775),,very low
Wollbach,Landkreis Rhön-Grabfeld,3029097.951226139,4346298.1082388805,POINT (4346298.1082388805 3029097.951226139),,very low
Wollbach,Landkreis Rhön-Grabfeld,3017675.7677927744,4337072.349409009,POINT (4337072.349409009 3017675.7677927744),,very low
Wülfershausen an der Saale,Landkreis Rhön-Grabfeld,3018151.562692024,4336082.202445295,POINT (4336082.202445295 3018151.562692024),,very low
Wülfershausen an der Saale,Landkreis Rhön-Grabfeld,3023296.549380856,4343548.274847219,POINT (4343548.274847219 3023296.549380856),,very low
Wülfershausen an der Saale,Landkreis Rhön-Grabfeld,3022514.963698748,4329412.8070626585,POINT (4329412.8070626585 3022514.963698748),,very low
Wülfershausen an der Saale,Landkreis Rhön-Grabfeld,3026601.3798004813,4337551.2627114495,POINT (4337551.2627114495 3026601.3798004813),,very low
Oberelsbach,Landkreis Rhön-Grabfeld,3036906.2866649707,4327303.859930947,POINT (4327303.859930947 3036906.2866649707),,very low
Ostheim v.d.Rhön,Landkreis Rhön-Grabfeld,3035920.141005028,4337122.174053803,POINT (4337122.174053803 3035920.141005028),,very low
Aubstadt,Landkreis Rhön-Grabfeld,3019382.101610862,4348394.291370182,POINT (4348394.291370182 3019382.101610862),,very low
Aubstadt,Landkreis Rhön-Grabfeld,3014943.758039555,4347764.9318036,POINT (4347764.9318036 3014943.758039555),,very low
Großbardorf,Landkreis Rhön-Grabfeld,3025695.663289227,4358283.545694396,POINT (4358283.545694396 3025695.663289227),,very low
Großbardorf,Landkreis Rhön-Grabfeld,3020847.2369525903,4351157.248177708,POINT (4351157.248177708 3020847.2369525903),,very low
Großeibstadt,Landkreis Rhön-Grabfeld,3018422.353797667,4347641.536487702,POINT (4347641.536487702 3018422.353797667),,very low
Großeibstadt,Landkreis Rhön-Grabfeld,3023327.422695452,4356739.07366625,POINT (4356739.07366625 3023327.422695452),,very low
Herbstadt,Landkreis Rhön-Grabfeld,3017539.965544972,4350559.551948628,POINT (4350559.551948628 3017539.965544972),,very low
Herbstadt,Landkreis Rhön-Grabfeld,3028862.511379282,4351557.787977414,POINT (4351557.787977414 3028862.511379282),,very low
Höchheim,Landkreis Rhön-Grabfeld,3027135.096248081,4360065.51352771,POINT (4360065.51352771 3027135.096248081),,very low
Höchheim,Landkreis Rhön-Grabfeld,3030327.254836699,4352077.581311085,POINT (4352077.581311085 3030327.254836699),,very low
Saal a.d.Saale,Landkreis Rhön-Grabfeld,3027495.7983534327,4351216.629605402,POINT (4351216.629605402 3027495.7983534327),,very low
Saal a.d.Saale,Landkreis Rhön-Grabfeld,3023156.342924819,4353013.796363062,POINT (4353013.796363062 3023156.342924819),,very low
Sulzfeld,Landkreis Rhön-Grabfeld,3016713.7933608275,4347225.566411394,POINT (4347225.566411394 3016713.7933608275),,very low
Sulzfeld,Landkreis Rhön-Grabfeld,3023669.3727392466,4356055.84473285,POINT (4356055.84473285 3023669.3727392466),,very low
Trappstadt,Landkreis Rhön-Grabfeld,3024148.847435879,4360397.421577551,POINT (4360397.421577551 3024148.847435879),,very low
Trappstadt,Landkreis Rhön-Grabfeld,3013618.966928083,4348989.674302806,POINT (4348989.674302806 3013618.966928083),,very low
Sandberg,Landkreis Rhön-Grabfeld,3027978.5973339262,4323193.670298765,POINT (4323193.670298765 3027978.5973339262),,very low
Hendungen,Landkreis Rhön-Grabfeld,3040955.8431104524,4340161.631146891,POINT (4340161.631146891 3040955.8431104524),,very low
Oberstreu,Landkreis Rhön-Grabfeld,3038061.7980846786,4340866.607558354,POINT (4340866.607558354 3038061.7980846786),,very low
Stockheim,Landkreis Rhön-Grabfeld,3033015.134850673,4339363.851412187,POINT (4339363.851412187 3033015.134850673),,very low
Fladungen,Landkreis Rhön-Grabfeld,3046390.716615648,4327624.381258511,POINT (4327624.381258511 3046390.716615648),,very low
Bad Königshofen im Grabfeld,Landkreis Rhön-Grabfeld,3020313.5368473306,4352131.517961279,POINT (4352131.517961279 3020313.5368473306),,very low
Bad Königshofen im Grabfeld,Landkreis Rhön-Grabfeld,3017640.6101671993,4354573.817084522,POINT (4354573.817084522 3017640.6101671993),,very low
Theres,Landkreis Haßberge,2990134.757761787,4349934.806627946,POINT (4349934.806627946 2990134.757761787),,very low
Hofheim in Unterfranken,Landkreis Haßberge,3003980.9149325923,4360016.851006448,POINT (4360016.851006448 3003980.9149325923),,very low
Haßfurt,Landkreis Haßberge,2993476.4470316884,4354039.062480634,POINT (4354039.062480634 2993476.4470316884),,very low
Haßfurt,Landkreis Haßberge,2995007.9255143283,4356924.821491377,POINT (4356924.821491377 2995007.9255143283),,very low
Haßfurt,Landkreis Haßberge,2992957.6560867727,4357083.507859741,POINT (4357083.507859741 2992957.6560867727),,very low
Haßfurt,Landkreis Haßberge,2994402.8555421936,4361551.775540633,POINT (4361551.775540633 2994402.8555421936),,very low
Sand a. Main,Landkreis Haßberge,2985677.6871242328,4364325.8221258875,POINT (4364325.8221258875 2985677.6871242328),,very low
Birkenfeld,Landkreis Main-Spessart,2972391.07839913,4301975.185389522,POINT (4301975.185389522 2972391.07839913),,very low
Collenberg,Landkreis Miltenberg,2961265.8348080083,4274895.270706979,POINT (4274895.270706979 2961265.8348080083),,very low
Eichenbühl,Landkreis Miltenberg,2959439.491028371,4269512.116794394,POINT (4269512.116794394 2959439.491028371),,very low
Bischbrunn,Landkreis Main-Spessart,2974914.5948774456,4283483.221723239,POINT (4283483.221723239 2974914.5948774456),,very low
Marktheidenfeld,Landkreis Main-Spessart,2969855.6777130608,4293503.359062526,POINT (4293503.359062526 2969855.6777130608),,very low
Marktheidenfeld,Landkreis Main-Spessart,2969663.2341986718,4287368.698947184,POINT (4287368.698947184 2969663.2341986718),,very low
Marktheidenfeld,Landkreis Main-Spessart,2969577.7458353913,4292474.265534692,POINT (4292474.265534692 2969577.7458353913),,very low
Eußenheim,Landkreis Main-Spessart,2989666.0114410426,4307243.814401348,POINT (4307243.814401348 2989666.0114410426),,very low
Esselbach,Landkreis Main-Spessart,2972572.7858586414,4286929.398137891,POINT (4286929.398137891 2972572.7858586414),,very low
Triefenstein,Landkreis Main-Spessart,2965205.959522386,4289914.816132724,POINT (4289914.816132724 2965205.959522386),,very low
Nordheim a.Main,Landkreis Kitzingen,2969721.9755300432,4334339.776487127,POINT (4334339.776487127 2969721.9755300432),,very low
Sommerach,Landkreis Kitzingen,2971459.05308672,4335553.802355863,POINT (4335553.802355863 2971459.05308672),,very low
Markt Einersheim,Landkreis Kitzingen,2956756.719519075,4342792.90537417,POINT (4342792.90537417 2956756.719519075),,very low
Rödelsee,Landkreis Kitzingen,2949607.883361497,4338876.793993138,POINT (4338876.793993138 2949607.883361497),,very low
Willanzheim,Landkreis Kitzingen,2951789.6701227278,4339453.243397526,POINT (4339453.243397526 2951789.6701227278),,very low
Mainbernheim,Landkreis Kitzingen,2954245.032299211,4337430.162632743,POINT (4337430.162632743 2954245.032299211),,very low
Albertshofen,Landkreis Kitzingen,2961707.1806001943,4338345.5397107825,POINT (4338345.5397107825 2961707.1806001943),,very low
Albertshofen,Landkreis Kitzingen,2956112.2211052785,4330599.923584927,POINT (4330599.923584927 2956112.2211052785),,very low
Buchbrunn,Landkreis Kitzingen,2962879.632279622,4328850.50547235,POINT (4328850.50547235 2962879.632279622),,very low
Buchbrunn,Landkreis Kitzingen,2962696.4192687175,4330060.200473015,POINT (4330060.200473015 2962696.4192687175),,very low
Großlangheim,Landkreis Kitzingen,2954990.7112383754,4329639.20079184,POINT (4329639.20079184 2954990.7112383754),,very low
Großlangheim,Landkreis Kitzingen,2955597.6059495066,4330112.365080692,POINT (4330112.365080692 2955597.6059495066),,very low
Mainstockheim,Landkreis Kitzingen,2963031.18219666,4327913.348983881,POINT (4327913.348983881 2963031.18219666),,very low
Mainstockheim,Landkreis Kitzingen,2961227.121220124,4331445.223605301,POINT (4331445.223605301 2961227.121220124),,very low
Sulzfeld am Main,Landkreis Kitzingen,2955277.816199519,4328395.482770498,POINT (4328395.482770498 2955277.816199519),,very low
Sulzfeld am Main,Landkreis Kitzingen,2961113.0509237843,4337829.788170662,POINT (4337829.788170662 2961113.0509237843),,very low
Schweinfurt,,2992606.8106175186,4336163.643055847,POINT (4336163.643055847 2992606.8106175186),,very low
Schweinfurt,,2992839.8306540237,4336457.646320359,POINT (4336457.646320359 2992839.8306540237),,very low
Schweinfurt,,2992232.0566555965,4336546.703068717,POINT (4336546.703068717 2992232.0566555965),,very low
Schweinfurt,,2993543.950900678,4336528.833974793,POINT (4336528.833974793 2993543.950900678),,very low
Kolitzheim,Landkreis Schweinfurt,2984133.314957826,4340444.8542297175,POINT (4340444.8542297175 2984133.314957826),,very low
Röthlein,Landkreis Schweinfurt,2983279.1482582698,4338148.240331489,POINT (4338148.240331489 2983279.1482582698),,very low
Stadtlauringen,Landkreis Schweinfurt,3012827.380280791,4348781.083511005,POINT (4348781.083511005 3012827.380280791),,very low
Üchtelhausen,Landkreis Schweinfurt,3004554.4038729975,4342835.2994412165,POINT (4342835.2994412165 3004554.4038729975),,very low
Euerbach,Landkreis Schweinfurt,2994867.954168659,4329274.337058614,POINT (4329274.337058614 2994867.954168659),,very low
Geldersheim,Landkreis Schweinfurt,2991212.46282618,4331050.741178316,POINT (4331050.741178316 2991212.46282618),,very low
Schweinfurt,,2991313.139453925,4335504.291726782,POINT (4335504.291726782 2991313.139453925),,very low
Schweinfurt,,2991159.2469098796,4335178.214342266,POINT (4335178.214342266 2991159.2469098796),,very low
Schweinfurt,,2993093.1863563363,4334811.030457922,POINT (4334811.030457922 2993093.1863563363),,very low
Schweinfurt,,2990553.5097536757,4336376.027987186,POINT (4336376.027987186 2990553.5097536757),,very low
Dittelbrunn,Landkreis Schweinfurt,3003755.9810017045,4334794.99329781,POINT (4334794.99329781 3003755.9810017045),,very low
Dittelbrunn,Landkreis Schweinfurt,3000116.2901231837,4333482.193133453,POINT (4333482.193133453 3000116.2901231837),,very low
Schwebheim,Landkreis Schweinfurt,2985438.4539678907,4340454.356926696,POINT (4340454.356926696 2985438.4539678907),,very low
Bergrheinfeld,Landkreis Schweinfurt,2988543.6753215212,4335045.243407568,POINT (4335045.243407568 2988543.6753215212),,very low
Wasserlosen,Landkreis Schweinfurt,2994218.1987909516,4319690.415239744,POINT (4319690.415239744 2994218.1987909516),,very low
Schwanfeld,Landkreis Schweinfurt,2977431.520060375,4329754.813545649,POINT (4329754.813545649 2977431.520060375),,very low
Poppenhausen,Landkreis Schweinfurt,2996543.5165533903,4331003.758896997,POINT (4331003.758896997 2996543.5165533903),,very low
Waigolshausen,Landkreis Schweinfurt,2983365.1883051996,4331329.617586386,POINT (4331329.617586386 2983365.1883051996),,very low
Grafenrheinfeld,Landkreis Schweinfurt,2987883.7157017486,4336376.7987091895,POINT (4336376.7987091895 2987883.7157017486),,very low
Werneck,Landkreis Schweinfurt,2983925.78856836,4326395.782563591,POINT (4326395.782563591 2983925.78856836),,very low
Werneck,Landkreis Schweinfurt,2982200.3385195527,4327657.735156318,POINT (4327657.735156318 2982200.3385195527),,very low
Werneck,Landkreis Schweinfurt,2987902.9467116427,4327408.191926222,POINT (4327408.191926222 2987902.9467116427),,very low
Niederwerrn,Landkreis Schweinfurt,2994726.6115695457,4331848.325544419,POINT (4331848.325544419 2994726.6115695457),,very low
Niederwerrn,Landkreis Schweinfurt,2993893.1336759105,4333289.053245328,POINT (4333289.053245328 2993893.1336759105),,very low
Sennfeld,Landkreis Schweinfurt,2992400.433658769,4339785.279497146,POINT (4339785.279497146 2992400.433658769),,very low
Maßbach,Landkreis Bad Kissingen,3007585.3401861307,4340134.42729913,POINT (4340134.42729913 3007585.3401861307),,very low
Maßbach,Landkreis Bad Kissingen,3009717.27813594,4340651.695555345,POINT (4340651.695555345 3009717.27813594),,very low
Thundorf i.UFr.,Landkreis Bad Kissingen,3012876.4999273685,4346602.516029631,POINT (4346602.516029631 3012876.4999273685),,very low
Thundorf i.UFr.,Landkreis Bad Kissingen,3007005.891153766,4342091.364913224,POINT (4342091.364913224 3007005.891153766),,very low
